 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
923.6817	1.0	922.0	C
923.88825	1.0	922.0	C
923.938	0.0	922.0	C
924.1497	1.0	922.0	C
924.1734	1.0	922.0	C
924.2608	1.0	922.0	C
924.5805	0.0	922.0	C
926.5786	1.0	922.0	C
927.06375	0.0	922.0	C
927.2392	0.0	922.0	C
927.86735	1.0	922.0	C
927.9492	1.0	922.0	C
928.07925	1.0	922.0	C
928.1629	1.0	922.0	C
928.5266	1.0	922.0	C
929.0502	1.0	922.0	C
929.0922	1.0	922.0	C
929.14875	1.0	922.0	C
930.88495	0.0	922.0	C
931.3676	1.0	922.0	C
939.25665	0.0	922.0	C
941.72385	1.0	940.9025	G
942.09755	0.0	940.9025	G
943.01225	1.0	940.9025	G
943.23315	0.0	940.9025	G
943.27375	1.0	940.9025	G
943.40055	1.0	940.9025	G
944.3981	1.0	940.9025	G
945.03625	1.0	940.9025	G
945.4143	1.0	940.9025	G
945.73075	1.0	940.9025	G
946.00695	1.0	940.9025	G
946.25995	1.0	940.9025	G
947.12125	1.0	940.9025	G
948.9384	1.0	940.9025	G
950.4242	1.0	940.9025	G
950.45465	1.0	940.9025	G
950.4835	1.0	940.9025	G
950.54505	1.0	940.9025	G
950.5781	1.0	940.9025	G
950.64355	1.0	940.9025	G
950.675	1.0	940.9025	G
951.08915	1.0	940.9025	G
951.22855	1.0	940.9025	G
951.76755	0.0	940.9025	G
955.65165	0.0	940.9025	G
955.94625	0.0	940.9025	G
962.88775	1.0	959.7	A
965.74305	1.0	959.7	A
966.9042	0.0	959.7	A
969.9062	0.0	959.7	A
980.0299	1.0	979.0	S
980.0999	1.0	979.0	S
980.2383	1.0	979.0	S
980.86905	1.0	979.0	S
981.0109	1.0	979.0	S
982.7791	1.0	979.0	S
983.47875	1.0	979.0	S
983.65305	1.0	979.0	S
984.0358	1.0	979.0	S
984.23765	1.0	979.0	S
984.35175	0.0	979.0	S
984.4667	1.0	979.0	S
984.54445	1.0	979.0	S
984.6222	1.0	979.0	S
984.7688	1.0	979.0	S
984.80755	1.0	979.0	S
985.07675	1.0	979.0	S
986.79695	1.0	979.0	S
986.95755	1.0	979.0	S
987.09295	1.0	979.0	S
987.31655	0.0	979.0	S
989.0283	1.0	979.0	S
989.06845	1.0	979.0	S
989.2545	1.0	979.0	S
989.4181	1.0	979.0	S
989.46045	1.0	979.0	S
989.49705	1.0	979.0	S
989.5877	1.0	979.0	S
991.81745	1.0	979.0	S
1000.9156	0.0	999.6	L
1000.95	1.0	999.6	L
1001.0972	0.0	999.6	L
1001.38765	0.0	999.6	L
1001.6716	1.0	999.6	L
1001.70365	1.0	999.6	L
1001.73285	1.0	999.6	L
1001.795	1.0	999.6	L
1001.8341	1.0	999.6	L
1001.8803	1.0	999.6	L
1001.92565	1.0	999.6	L
1002.05765	1.0	999.6	L
1002.17325	1.0	999.6	L
1002.2225	1.0	999.6	L
1002.2784	1.0	999.6	L
1002.78255	1.0	999.6	L
1002.87035	1.0	999.6	L
1002.92235	1.0	999.6	L
1003.28595	1.0	999.6	L
1003.6422	1.0	999.6	L
1003.67185	1.0	999.6	L
1004.43025	1.0	999.6	L
1004.5933	1.0	999.6	L
1005.2599	0.0	999.6	L
1006.0414	1.0	999.6	L
1006.1213	1.0	999.6	L
1006.24015	0.0	999.6	L
1006.2635	1.0	999.6	L
1006.7512	1.0	999.6	L
1006.78755	1.0	999.6	L
1006.85345	0.0	999.6	L
1006.8829	1.0	999.6	L
1006.9378	1.0	999.6	L
1006.99335	1.0	999.6	L
1007.22465	1.0	999.6	L
1007.2577	0.0	999.6	L
1007.42525	1.0	999.6	L
1007.57725	1.0	999.6	L
1007.63385	1.0	999.6	L
1008.128	1.0	999.6	L
1008.1715	1.0	999.6	L
1008.20635	1.0	999.6	L
1008.25735	1.0	999.6	L
1008.28895	1.0	999.6	L
1008.35385	1.0	999.6	L
1008.49245	1.0	999.6	L
1008.55705	1.0	999.6	L
1008.59505	0.0	999.6	L
1008.64045	1.0	999.6	L
1009.2997	0.0	999.6	L
1009.4274	1.0	999.6	L
1010.0205	0.0	999.6	L
1010.13255	1.0	999.6	L
1019.5414	1.0	1017.8	H
1019.76775	1.0	1017.8	H
1020.08125	0.0	1017.8	H
1020.2407	1.0	1017.8	H
1020.55595	1.0	1017.8	H
1021.2736	0.0	1017.8	H
1022.139	1.0	1017.8	H
1022.7987	1.0	1017.8	H
1025.1151	1.0	1017.8	H
1025.4899	0.0	1017.8	H
1025.74205	1.0	1017.8	H
1027.4471	0.0	1017.8	H
1030.65935	0.0	1017.8	H
1031.58065	0.0	1017.8	H
1037.3074	0.0	1017.8	H
1037.99875	0.0	1017.8	H
1040.50725	0.0	1039.7	C
1040.5103	0.0	1039.7	C
1041.0978	0.0	1039.7	C
1041.16215	1.0	1039.7	C
1041.21185	1.0	1039.7	C
1041.3048	0.0	1039.7	C
1041.35025	1.0	1039.7	C
1041.3635	0.0	1039.7	C
1041.38315	1.0	1039.7	C
1041.5966	1.0	1039.7	C
1041.65825	1.0	1039.7	C
1041.7533	1.0	1039.7	C
1041.7918	1.0	1039.7	C
1041.82295	1.0	1039.7	C
1041.96775	1.0	1039.7	C
1042.0061	0.0	1039.7	C
1042.1138	1.0	1039.7	C
1042.17875	1.0	1039.7	C
1042.6221	1.0	1039.7	C
1042.6516	0.0	1039.7	C
1042.6765	1.0	1039.7	C
1043.52	1.0	1039.7	C
1043.6588	1.0	1039.7	C
1043.76225	1.0	1039.7	C
1043.8981	1.0	1039.7	C
1043.93665	0.0	1039.7	C
1043.9794	0.0	1039.7	C
1044.27225	1.0	1039.7	C
1044.2993	1.0	1039.7	C
1044.54545	1.0	1039.7	C
1044.62645	1.0	1039.7	C
1044.70895	0.0	1039.7	C
1044.7565	1.0	1039.7	C
1044.7961	1.0	1039.7	C
1044.9125	0.0	1039.7	C
1044.9686	1.0	1039.7	C
1045.05355	1.0	1039.7	C
1045.15005	1.0	1039.7	C
1046.7456	1.0	1039.7	C
1046.981	1.0	1039.7	C
1047.1114	1.0	1039.7	C
1048.767	0.0	1039.7	C
1048.8055	1.0	1039.7	C
1048.91315	0.0	1039.7	C
1048.95025	1.0	1039.7	C
1049.13325	1.0	1039.7	C
1049.47855	1.0	1039.7	C
1049.544	0.0	1039.7	C
1049.63925	1.0	1039.7	C
1049.6788	1.0	1039.7	C
1049.8611	0.0	1039.7	C
1049.92525	0.0	1039.7	C
1050.02085	0.0	1039.7	C
1050.0893	1.0	1039.7	C
1050.2732	0.0	1039.7	C
1050.53	0.0	1039.7	C
1056.7623	0.0	1039.7	C
1056.79595	0.0	1039.7	C
1056.8095	0.0	1039.7	C
1057.1399	0.0	1039.7	C
1057.24205	0.0	1039.7	C
1057.39975	0.0	1039.7	C
1057.5393	0.0	1039.7	C
1057.68755	0.0	1039.7	C
1057.85015	0.0	1039.7	C
1058.0034	0.0	1039.7	C
1058.13625	0.0	1039.7	C
1058.26855	0.0	1039.7	C
1058.39945	0.0	1039.7	C
1058.5586	0.0	1039.7	C
1058.70725	0.0	1039.7	C
1058.8606	0.0	1039.7	C
1059.11315	0.0	1039.7	C
1059.11565	0.0	1039.7	C
1061.4612	0.0	1060.4025	H
1061.5398	0.0	1060.4025	H
1062.04245	0.0	1060.4025	H
1062.2213	1.0	1060.4025	H
1062.27035	1.0	1060.4025	H
1063.4084	1.0	1060.4025	H
1063.57495	1.0	1060.4025	H
1064.84445	1.0	1060.4025	H
1065.11395	1.0	1060.4025	H
1065.22355	0.0	1060.4025	H
1065.2831	1.0	1060.4025	H
1065.54375	1.0	1060.4025	H
1065.914	1.0	1060.4025	H
1066.4986	1.0	1060.4025	H
1066.8192	1.0	1060.4025	H
1066.97645	1.0	1060.4025	H
1067.7295	1.0	1060.4025	H
1067.889	1.0	1060.4025	H
1068.83395	1.0	1060.4025	H
1068.9325	1.0	1060.4025	H
1069.69485	1.0	1060.4025	H
1069.79665	0.0	1060.4025	H
1069.84065	0.0	1060.4025	H
1070.82655	1.0	1060.4025	H
1073.12815	0.0	1060.4025	H
1074.1349	0.0	1060.4025	H
1074.1376	0.0	1060.4025	H
