 	Spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
2.2795	1.0	0.055	love
2.60155	1.0	0.055	love
2.60965	1.0	0.055	love
2.6187	1.0	0.055	love
2.62775	0.0	0.055	love
2.66185	1.0	0.055	love
2.68665	1.0	0.055	love
2.6923	1.0	0.055	love
2.7167	0.0	0.055	love
2.74765	1.0	0.055	love
2.7548	1.0	0.055	love
2.77875	1.0	0.055	love
2.78505	0.0	0.055	love
2.80315	1.0	0.055	love
2.83815	0.0	0.055	love
2.85255	1.0	0.055	love
2.89595	1.0	0.055	love
2.91795	1.0	0.055	love
2.93795	0.0	0.055	love
2.953	1.0	0.055	love
2.9598	0.0	0.055	love
2.97205	1.0	0.055	love
2.9806	1.0	0.055	love
3.0037	0.0	0.055	love
3.021	1.0	0.055	love
3.02455	1.0	0.055	love
3.03525	1.0	0.055	love
3.0792	0.0	0.055	love
3.0853	1.0	0.055	love
3.11435	1.0	0.055	love
3.20395	0.0	0.055	love
3.2197	1.0	0.055	love
3.24555	1.0	0.055	love
3.249	1.0	0.055	love
3.26	1.0	0.055	love
3.3124	1.0	0.055	love
3.3446	0.0	0.055	love
3.3694	1.0	0.055	love
3.43115	1.0	0.055	love
3.5565	1.0	0.055	love
3.6625	1.0	0.055	love
4.094	1.0	0.055	love
4.13785	0.0	0.055	love
8.552	1.0	0.055	love
8.60195	1.0	0.055	love
8.6446	1.0	0.055	love
8.72325	1.0	0.055	love
8.73955	1.0	0.055	love
8.78225	1.0	0.055	love
8.78715	1.0	0.055	love
8.79745	1.0	0.055	love
8.81095	1.0	0.055	love
8.84735	1.0	0.055	love
8.8617	1.0	0.055	love
8.86785	0.0	0.055	love
8.8728	1.0	0.055	love
8.9063	0.0	0.055	love
8.9277	1.0	0.055	love
8.9401	1.0	0.055	love
8.94975	0.0	0.055	love
8.96685	0.0	0.055	love
8.99325	1.0	0.055	love
9.0156	1.0	0.055	love
9.0219	1.0	0.055	love
9.04215	1.0	0.055	love
9.0554	1.0	0.055	love
9.06385	1.0	0.055	love
9.0792	1.0	0.055	love
9.0937	1.0	0.055	love
9.1061	1.0	0.055	love
9.1154	1.0	0.055	love
9.1422	1.0	0.055	love
9.15735	1.0	0.055	love
9.17485	1.0	0.055	love
9.2024	0.0	0.055	love
9.2209	0.0	0.055	love
9.2265	1.0	0.055	love
9.2317	1.0	0.055	love
9.2419	1.0	0.055	love
9.25535	1.0	0.055	love
9.2742	1.0	0.055	love
9.2822	1.0	0.055	love
9.3053	0.0	0.055	love
9.31225	1.0	0.055	love
9.4007	0.0	0.055	love
9.40685	1.0	0.055	love
9.4521	1.0	0.055	love
9.4559	1.0	0.055	love
9.53855	1.0	0.055	love
9.55815	1.0	0.055	love
9.57405	1.0	0.055	love
9.5944	1.0	0.055	love
13.4111	1.0	12.215	love
13.4361	1.0	12.215	love
13.452	1.0	12.215	love
13.4738	1.0	12.215	love
13.5135	0.0	12.215	love
13.522	1.0	12.215	love
13.5345	1.0	12.215	love
13.54105	0.0	12.215	love
13.54655	1.0	12.215	love
13.55655	1.0	12.215	love
13.57625	1.0	12.215	love
13.5833	1.0	12.215	love
13.5927	1.0	12.215	love
13.5993	1.0	12.215	love
13.61135	1.0	12.215	love
13.6209	1.0	12.215	love
13.62925	1.0	12.215	love
13.6466	0.0	12.215	love
13.667	1.0	12.215	love
13.68375	1.0	12.215	love
13.69975	0.0	12.215	love
13.7285	1.0	12.215	love
13.81795	1.0	12.215	love
13.83355	1.0	12.215	love
13.83815	0.0	12.215	love
13.861	0.0	12.215	love
13.89435	1.0	12.215	love
13.9114	1.0	12.215	love
13.9254	1.0	12.215	love
13.94205	1.0	12.215	love
14.0026	1.0	12.215	love
14.0442	1.0	12.215	love
14.0553	1.0	12.215	love
14.10795	1.0	12.215	love
14.12365	1.0	12.215	love
14.1303	1.0	12.215	love
14.13645	1.0	12.215	love
14.15345	0.0	12.215	love
14.17265	0.0	12.215	love
14.19565	1.0	12.215	love
14.2147	1.0	12.215	love
14.29675	0.0	12.215	love
14.37575	1.0	12.215	love
14.40085	1.0	12.215	love
14.4371	0.0	12.215	love
14.4908	1.0	12.215	love
14.5141	0.0	12.215	love
14.5748	0.0	12.215	love
14.62835	1.0	12.215	love
14.65195	1.0	12.215	love
14.7351	1.0	12.215	love
14.7864	1.0	12.215	love
18.9121	1.0	12.215	love
18.93385	1.0	12.215	love
18.97225	1.0	12.215	love
18.99275	1.0	12.215	love
19.0143	1.0	12.215	love
19.03935	1.0	12.215	love
19.0553	0.0	12.215	love
19.07875	1.0	12.215	love
19.1155	1.0	12.215	love
19.1335	1.0	12.215	love
19.15845	1.0	12.215	love
19.19165	1.0	12.215	love
19.21235	0.0	12.215	love
19.22205	0.0	12.215	love
19.2335	1.0	12.215	love
19.2568	0.0	12.215	love
19.34825	1.0	12.215	love
19.37165	1.0	12.215	love
19.39385	0.0	12.215	love
19.40765	0.0	12.215	love
19.4851	1.0	12.215	love
19.48995	1.0	12.215	love
19.583	1.0	12.215	love
19.62395	1.0	12.215	love
19.69265	1.0	12.215	love
19.70825	1.0	12.215	love
19.73385	1.0	12.215	love
19.78035	1.0	12.215	love
19.7934	1.0	12.215	love
19.8104	1.0	12.215	love
19.84395	0.0	12.215	love
19.97525	1.0	12.215	love
19.9917	1.0	12.215	love
20.00985	0.0	12.215	love
20.04595	1.0	12.215	love
20.0508	1.0	12.215	love
20.08305	1.0	12.215	love
20.1006	1.0	12.215	love
20.1097	1.0	12.215	love
20.2285	0.0	12.215	love
20.32285	0.0	12.215	love
20.4013	1.0	12.215	love
20.4256	1.0	12.215	love
26.7781	1.0	24.25	attention
26.7826	1.0	24.25	attention
26.7984	1.0	24.25	attention
26.8045	0.0	24.25	attention
26.8997	1.0	24.25	attention
27.01685	0.0	24.25	attention
27.1414	1.0	24.25	attention
27.1974	1.0	24.25	attention
27.20145	1.0	24.25	attention
27.21865	0.0	24.25	attention
27.227	1.0	24.25	attention
27.3785	0.0	24.25	attention
27.38575	0.0	24.25	attention
27.39565	1.0	24.25	attention
27.4067	1.0	24.25	attention
27.41675	1.0	24.25	attention
27.57855	1.0	24.25	attention
28.40185	1.0	24.25	attention
28.4162	0.0	24.25	attention
28.42485	1.0	24.25	attention
28.46005	0.0	24.25	attention
28.466	1.0	24.25	attention
28.5044	1.0	24.25	attention
28.59655	1.0	24.25	attention
28.6006	1.0	24.25	attention
28.6203	0.0	24.25	attention
28.6533	1.0	24.25	attention
28.6596	1.0	24.25	attention
28.79305	0.0	24.25	attention
28.8144	1.0	24.25	attention
28.84335	0.0	24.25	attention
29.02335	0.0	24.25	attention
29.1435	1.0	24.25	attention
29.16895	1.0	24.25	attention
29.17865	0.0	24.25	attention
29.18325	1.0	24.25	attention
30.41685	1.0	24.25	attention
30.4322	1.0	24.25	attention
30.45705	1.0	24.25	attention
30.6148	1.0	24.25	attention
30.6231	0.0	24.25	attention
30.63815	0.0	24.25	attention
30.64295	1.0	24.25	attention
30.6614	0.0	24.25	attention
30.817	0.0	24.25	attention
30.86115	0.0	24.25	attention
31.0123	0.0	24.25	attention
31.0432	1.0	24.25	attention
31.05425	1.0	24.25	attention
31.17325	1.0	24.25	attention
31.1789	1.0	24.25	attention
31.22165	1.0	24.25	attention
31.2393	1.0	24.25	attention
32.45395	1.0	24.25	attention
32.6236	1.0	24.25	attention
32.6329	1.0	24.25	attention
32.6577	0.0	24.25	attention
32.66175	1.0	24.25	attention
32.6832	0.0	24.25	attention
32.82295	1.0	24.25	attention
32.8268	1.0	24.25	attention
32.8505	0.0	24.25	attention
32.85595	1.0	24.25	attention
32.8733	1.0	24.25	attention
33.0717	1.0	24.25	attention
33.0787	1.0	24.25	attention
37.9604	1.0	36.43	calming
37.9811	1.0	36.43	calming
38.00735	1.0	36.43	calming
38.0721	1.0	36.43	calming
38.16765	1.0	36.43	calming
38.19795	1.0	36.43	calming
38.23975	0.0	36.43	calming
38.247	1.0	36.43	calming
38.2895	0.0	36.43	calming
38.3524	1.0	36.43	calming
38.3559	1.0	36.43	calming
38.4333	0.0	36.43	calming
38.53425	0.0	36.43	calming
38.5715	1.0	36.43	calming
