 	spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
12.9780501	1.0	12.6	attention
12.9909001	1.0	12.6	attention
13.0327501	1.0	12.6	attention
13.4554501	1.0	12.6	attention
13.4716501	1.0	12.6	attention
13.7459501	1.0	12.6	attention
14.0045001	0.0	12.6	attention
14.0119501	1.0	12.6	attention
14.0177001	1.0	12.6	attention
14.2671001	1.0	12.6	attention
14.2739001	1.0	12.6	attention
14.2798001	1.0	12.6	attention
15.5678001	0.0	12.6	attention
15.5830501	1.0	12.6	attention
15.8859001	1.0	12.6	attention
16.1335501	1.0	12.6	attention
16.1418001	1.0	12.6	attention
16.4054001	0.0	12.6	attention
17.8087501	1.0	12.6	attention
18.3404501	1.0	12.6	attention
18.3455501	1.0	12.6	attention
18.3499001	1.0	12.6	attention
18.6067001	1.0	12.6	attention
18.6171501	1.0	12.6	attention
20.0116001	1.0	12.6	attention
20.0545001	1.0	12.6	attention
20.3126501	1.0	12.6	attention
20.5528001	1.0	12.6	attention
20.5630501	1.0	12.6	attention
20.8172001	1.0	12.6	attention
20.8243001	1.0	12.6	attention
20.8323501	1.0	12.6	attention
22.1268501	0.0	12.6	attention
22.4080501	1.0	12.6	attention
22.6520501	1.0	12.6	attention
22.6629501	1.0	12.6	attention
29.3201001	0.0	12.6	attention
29.3286001	0.0	12.6	attention
29.3297501	0.0	12.6	attention
44.0990001	1.0	44.05	attention
44.1050001	1.0	44.05	attention
44.3996501	1.0	44.05	attention
44.6494501	1.0	44.05	attention
44.6606001	1.0	44.05	attention
45.8639001	1.0	44.05	attention
46.1266501	1.0	44.05	attention
46.3847501	1.0	44.05	attention
47.5973501	1.0	44.05	attention
47.8651001	1.0	44.05	attention
48.1202001	1.0	44.05	attention
48.1273001	0.0	44.05	attention
49.4874501	1.0	44.05	attention
49.4981501	1.0	44.05	attention
49.7433001	1.0	44.05	attention
50.0235501	1.0	44.05	attention
51.4403001	0.0	44.05	attention
51.4458001	0.0	44.05	attention
51.7062001	1.0	44.05	attention
51.9715001	0.0	44.05	attention
53.7160001	1.0	44.05	attention
53.9844001	0.0	44.05	attention
54.2528001	1.0	44.05	attention
87.0198501	1.0	86.15	grat
87.1440001	1.0	86.15	grat
87.7993001	1.0	86.15	grat
88.3536001	1.0	86.15	grat
89.7488001	0.0	86.15	grat
90.0462501	0.0	86.15	grat
90.6272001	1.0	86.15	grat
92.0388001	1.0	86.15	grat
92.1963001	1.0	86.15	grat
94.1311001	1.0	86.15	grat
94.4385001	1.0	86.15	grat
94.7589501	1.0	86.15	grat
95.0010501	1.0	86.15	grat
95.0901501	1.0	86.15	grat
95.1065501	1.0	86.15	grat
95.7588001	1.0	86.15	grat
105.9752001	1.0	86.15	grat
108.1247001	1.0	107.7	sad
112.9040501	1.0	107.7	sad
113.0449001	1.0	107.7	sad
113.0847001	1.0	107.7	sad
113.1457501	1.0	107.7	sad
113.2914501	1.0	107.7	sad
114.5861501	1.0	107.7	sad
117.0939001	1.0	107.7	sad
131.3757001	1.0	127.45	happy
131.7282001	1.0	127.45	happy
133.8417001	1.0	127.45	happy
135.1285001	1.0	127.45	happy
135.5307001	1.0	127.45	happy
137.0231001	1.0	127.45	happy
151.8223501	1.0	148.35	calm
151.9108001	1.0	148.35	calm
151.9932001	1.0	148.35	calm
152.0392501	1.0	148.35	calm
