 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
3.170549905	1.0	 	 
3.203449905	1.0	 	 
3.211099905	1.0	 	 
3.239449905	1.0	 	 
3.274049905	1.0	3.2499	air 
3.336949905	1.0	3.2499	air 
3.386649905	1.0	3.2499	air 
3.725349905	1.0	3.2499	air 
3.792099905	1.0	3.2499	air 
3.914499905	1.0	3.2499	air 
3.933849905	1.0	3.2499	air 
4.028499905	1.0	3.2499	air 
4.175399905	1.0	3.2499	air 
9.863099905	1.0	3.2499	air 
10.0206499	1.0	3.2499	air 
10.1489999	1.0	10.0499	air 
10.7760499	1.0	10.0499	air 
10.7990999	1.0	10.0499	air 
10.8068999	1.0	10.0499	air 
10.8725999	1.0	10.0499	air 
10.9043999	1.0	10.0499	air 
10.9613499	1.0	10.0499	air 
10.9773499	1.0	10.0499	air 
10.9947499	1.0	10.0499	air 
11.0455499	1.0	10.0499	air 
11.1412999	1.0	10.0499	air 
11.2307499	1.0	10.0499	air 
697.9380999	1.0	697.2499	Attention
697.9459999	1.0	697.2499	Attention
697.9503499	1.0	697.2499	Attention
697.9748999	0.0	697.2499	Attention
698.0146999	1.0	697.2499	Attention
698.0258999	1.0	697.2499	Attention
698.0334999	1.0	697.2499	Attention
698.1933499	1.0	697.2499	Attention
698.2006499	1.0	697.2499	Attention
698.2073499	1.0	697.2499	Attention
698.2122999	1.0	697.2499	Attention
698.2693499	1.0	697.2499	Attention
698.2785499	0.0	697.2499	Attention
698.4266499	1.0	697.2499	Attention
698.4300499	1.0	697.2499	Attention
698.4333999	1.0	697.2499	Attention
698.4378999	1.0	697.2499	Attention
698.4690999	0.0	697.2499	Attention
698.4701499	0.0	697.2499	Attention
698.5121499	1.0	697.2499	Attention
698.6575499	1.0	697.2499	Attention
698.6612499	1.0	697.2499	Attention
698.6674499	1.0	697.2499	Attention
698.7331999	1.0	697.2499	Attention
698.7447999	1.0	697.2499	Attention
698.7479999	1.0	697.2499	Attention
698.8999499	1.0	697.2499	Attention
698.9035999	1.0	697.2499	Attention
698.9839999	0.0	697.2499	Attention
700.1247499	1.0	697.2499	Attention
700.1281499	1.0	697.2499	Attention
700.1321499	1.0	697.2499	Attention
700.1572499	0.0	697.2499	Attention
700.1885999	0.0	697.2499	Attention
700.1922999	1.0	697.2499	Attention
700.1996999	1.0	697.2499	Attention
700.3668499	1.0	697.2499	Attention
700.3711499	1.0	697.2499	Attention
700.3791499	1.0	697.2499	Attention
700.3848499	1.0	697.2499	Attention
700.4128499	1.0	697.2499	Attention
700.4337499	1.0	697.2499	Attention
700.4418499	1.0	697.2499	Attention
700.4999499	0.0	697.2499	Attention
700.5012999	0.0	697.2499	Attention
700.5962499	1.0	697.2499	Attention
700.5993999	1.0	697.2499	Attention
700.6023999	1.0	697.2499	Attention
700.6080999	1.0	697.2499	Attention
700.6651499	1.0	697.2499	Attention
700.6768999	1.0	697.2499	Attention
700.8233999	1.0	697.2499	Attention
700.8265999	1.0	697.2499	Attention
700.8294999	1.0	697.2499	Attention
700.8346999	1.0	697.2499	Attention
700.8968999	1.0	697.2499	Attention
700.9066999	1.0	697.2499	Attention
701.0776499	1.0	697.2499	Attention
701.0817499	1.0	697.2499	Attention
701.0849999	1.0	697.2499	Attention
701.0899999	1.0	697.2499	Attention
701.1417999	0.0	697.2499	Attention
701.1529999	1.0	697.2499	Attention
702.3447499	1.0	697.2499	Attention
702.3478999	1.0	697.2499	Attention
702.3777499	0.0	697.2499	Attention
702.3788999	0.0	697.2499	Attention
702.3800999	0.0	697.2499	Attention
702.3811499	0.0	697.2499	Attention
702.3843499	0.0	697.2499	Attention
702.4074499	1.0	697.2499	Attention
702.4146999	1.0	697.2499	Attention
702.5753499	1.0	697.2499	Attention
702.5784999	1.0	697.2499	Attention
702.5872499	1.0	697.2499	Attention
702.6132999	0.0	697.2499	Attention
702.6146499	0.0	697.2499	Attention
702.6156499	0.0	697.2499	Attention
702.6168499	0.0	697.2499	Attention
702.6466999	1.0	697.2499	Attention
702.6527499	1.0	697.2499	Attention
702.8083999	1.0	697.2499	Attention
702.8116499	1.0	697.2499	Attention
702.8147499	1.0	697.2499	Attention
703.0228499	1.0	697.2499	Attention
703.0262999	1.0	697.2499	Attention
703.1041499	1.0	697.2499	Attention
703.2885499	1.0	697.2499	Attention
703.2919999	1.0	697.2499	Attention
704.5665999	1.0	697.2499	Attention
704.5704499	1.0	697.2499	Attention
704.5756999	1.0	697.2499	Attention
704.6023999	0.0	697.2499	Attention
704.6051999	0.0	697.2499	Attention
704.8102499	1.0	697.2499	Attention
704.8136999	1.0	697.2499	Attention
704.8447999	0.0	697.2499	Attention
704.8470499	0.0	697.2499	Attention
704.8494499	0.0	697.2499	Attention
705.0374999	1.0	697.2499	Attention
705.0417499	1.0	697.2499	Attention
705.0437999	0.0	697.2499	Attention
705.1086999	0.0	697.2499	Attention
705.2657499	1.0	697.2499	Attention
705.2698499	1.0	697.2499	Attention
705.3015999	0.0	697.2499	Attention
705.3028999	0.0	697.2499	Attention
705.3039499	0.0	697.2499	Attention
705.3079499	0.0	697.2499	Attention
705.3385499	1.0	697.2499	Attention
705.5049999	1.0	697.2499	Attention
705.5085999	1.0	697.2499	Attention
706.8659499	1.0	697.2499	Attention
706.8690499	1.0	697.2499	Attention
706.8723499	1.0	697.2499	Attention
706.9019499	0.0	697.2499	Attention
706.9044999	0.0	697.2499	Attention
706.9066499	0.0	697.2499	Attention
706.9329499	1.0	697.2499	Attention
706.9362499	1.0	697.2499	Attention
707.1033999	1.0	697.2499	Attention
707.1079999	1.0	697.2499	Attention
707.1399999	0.0	697.2499	Attention
707.1412999	0.0	697.2499	Attention
707.1423999	0.0	697.2499	Attention
707.3221999	1.0	697.2499	Attention
707.3254499	1.0	697.2499	Attention
707.3587499	0.0	697.2499	Attention
707.5498499	1.0	697.2499	Attention
707.5532499	1.0	697.2499	Attention
707.5886499	0.0	697.2499	Attention
707.5904999	0.0	697.2499	Attention
707.6174999	1.0	697.2499	Attention
707.7934499	1.0	697.2499	Attention
707.7966499	1.0	697.2499	Attention
707.8632499	1.0	697.2499	Attention
711.7788999	0.0	697.2499	Attention
722.0384499	1.0	721.855	Love
722.0512499	1.0	721.855	Love
722.0803499	1.0	721.855	Love
722.1088499	1.0	721.855	Love
722.1416999	1.0	721.855	Love
722.1853499	1.0	721.855	Love
722.2221499	1.0	721.855	Love
722.2669499	1.0	721.855	Love
722.2997499	1.0	721.855	Love
722.3113499	1.0	721.855	Love
722.3251499	1.0	721.855	Love
722.3434499	1.0	721.855	Love
722.3518999	1.0	721.855	Love
722.4122999	1.0	721.855	Love
722.4274499	1.0	721.855	Love
722.4504499	1.0	721.855	Love
722.5634999	1.0	721.855	Love
722.5970999	1.0	721.855	Love
722.6204999	1.0	721.855	Love
723.6485999	0.0	721.855	Love
724.1991999	1.0	721.855	Love
724.2098499	1.0	721.855	Love
724.2471499	1.0	721.855	Love
724.2701999	1.0	721.855	Love
724.2991499	1.0	721.855	Love
724.3336499	1.0	721.855	Love
724.3676999	1.0	721.855	Love
724.3732999	1.0	721.855	Love
724.3784499	1.0	721.855	Love
724.3860499	1.0	721.855	Love
724.3921499	1.0	721.855	Love
724.3988499	1.0	721.855	Love
724.4155999	1.0	721.855	Love
724.4353999	1.0	721.855	Love
724.4448499	1.0	721.855	Love
724.4575999	1.0	721.855	Love
724.4655999	1.0	721.855	Love
724.4732999	1.0	721.855	Love
724.4857999	1.0	721.855	Love
724.5110499	1.0	721.855	Love
724.5222499	1.0	721.855	Love
724.5650999	1.0	721.855	Love
724.6109499	1.0	721.855	Love
724.6269499	1.0	721.855	Love
724.6492499	1.0	721.855	Love
724.6797499	1.0	721.855	Love
724.6928499	1.0	721.855	Love
724.7050999	1.0	721.855	Love
724.7329499	1.0	721.855	Love
724.7643499	1.0	721.855	Love
724.7731499	1.0	721.855	Love
724.8315499	1.0	721.855	Love
724.8427499	1.0	721.855	Love
724.9277999	1.0	721.855	Love
724.9521999	1.0	721.855	Love
725.0047499	1.0	721.855	Love
726.9927999	1.0	721.855	Love
727.0189999	1.0	721.855	Love
727.0414499	1.0	721.855	Love
