 	Spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
0.4529499619	0.0	 	 
0.4545499619	0.0	 	 
0.4731499619	0.0	 	 
0.4747999619	0.0	 	 
0.5144499619	0.0	 	 
0.5773999619	1.0	 	 
0.6385499619	1.0	 	 
0.7528999619	1.0	 	 
0.7832499619	1.0	 	 
0.8091999619	1.0	 	 
0.9385499619	1.0	 	 
0.9927499619	1.0	 	 
1.041349962	1.0	 	 
1.108399962	1.0	 	 
1.168999962	1.0	1.1211	Calming
1.572749962	1.0	1.1211	Calming
2.379599962	1.0	1.1211	Calming
2.744999962	1.0	1.1211	Calming
2.883849962	1.0	1.1211	Calming
2.988149962	1.0	1.1211	Calming
3.042799962	1.0	1.1211	Calming
3.065499962	1.0	1.1211	Calming
3.127599962	1.0	1.1211	Calming
3.172399962	1.0	1.1211	Calming
3.492899962	1.0	1.1211	Calming
3.609699962	1.0	1.1211	Calming
3.698249962	1.0	1.1211	Calming
3.960249962	1.0	1.1211	Calming
5.406949962	1.0	1.1211	Calming
5.584349962	1.0	1.1211	Calming
5.861449962	1.0	1.1211	Calming
5.911549962	1.0	1.1211	Calming
5.961849962	1.0	1.1211	Calming
6.090449962	1.0	1.1211	Calming
6.448949962	1.0	1.1211	Calming
6.506949962	1.0	1.1211	Calming
6.723049962	1.0	1.1211	Calming
6.814799962	0.0	1.1211	Calming
6.816999962	0.0	1.1211	Calming
8.511099962	1.0	1.1211	Calming
8.541649962	1.0	1.1211	Calming
9.278499962	1.0	1.1211	Calming
10.04629996	0.0	1.1211	Calming
11.33229996	0.0	1.1211	Calming
11.35134996	0.0	1.1211	Calming
11.35289996	0.0	1.1211	Calming
29.63474996	1.0	28.4326	Gratitude
29.70179996	1.0	28.4326	Gratitude
29.74039996	1.0	28.4326	Gratitude
29.77014996	1.0	28.4326	Gratitude
29.78559996	1.0	28.4326	Gratitude
29.80704996	1.0	28.4326	Gratitude
29.81369996	1.0	28.4326	Gratitude
29.82094996	1.0	28.4326	Gratitude
29.82909996	1.0	28.4326	Gratitude
29.84149996	1.0	28.4326	Gratitude
29.86464996	1.0	28.4326	Gratitude
29.91149996	1.0	28.4326	Gratitude
30.03759996	1.0	28.4326	Gratitude
30.12774996	1.0	28.4326	Gratitude
30.26299996	1.0	28.4326	Gratitude
30.34209996	1.0	28.4326	Gratitude
31.25109996	1.0	28.4326	Gratitude
31.26934996	1.0	28.4326	Gratitude
31.28989996	1.0	28.4326	Gratitude
31.33259996	1.0	28.4326	Gratitude
31.34169996	1.0	28.4326	Gratitude
31.34909996	1.0	28.4326	Gratitude
31.35469996	1.0	28.4326	Gratitude
31.36189996	1.0	28.4326	Gratitude
31.37024996	1.0	28.4326	Gratitude
31.37639996	1.0	28.4326	Gratitude
31.85179996	1.0	28.4326	Gratitude
31.99064996	1.0	28.4326	Gratitude
32.15554996	1.0	28.4326	Gratitude
32.17044996	1.0	28.4326	Gratitude
32.18704996	1.0	28.4326	Gratitude
32.43374996	1.0	28.4326	Gratitude
32.44824996	1.0	28.4326	Gratitude
32.55174996	1.0	28.4326	Gratitude
32.67599996	1.0	28.4326	Gratitude
32.68664996	1.0	28.4326	Gratitude
32.69314996	1.0	28.4326	Gratitude
32.70204996	1.0	28.4326	Gratitude
32.70934996	1.0	28.4326	Gratitude
32.71899996	1.0	28.4326	Gratitude
32.73214996	1.0	28.4326	Gratitude
32.79344996	1.0	28.4326	Gratitude
32.81139996	1.0	28.4326	Gratitude
33.00564996	1.0	28.4326	Gratitude
33.02044996	1.0	28.4326	Gratitude
33.04279996	1.0	28.4326	Gratitude
33.15314996	1.0	28.4326	Gratitude
33.16579996	1.0	28.4326	Gratitude
33.52554996	1.0	28.4326	Gratitude
33.55909996	1.0	28.4326	Gratitude
33.56744996	1.0	28.4326	Gratitude
33.59159996	1.0	28.4326	Gratitude
33.61589996	1.0	28.4326	Gratitude
33.62404996	1.0	28.4326	Gratitude
33.63489996	1.0	28.4326	Gratitude
33.66624996	1.0	28.4326	Gratitude
33.92769996	1.0	28.4326	Gratitude
34.10394996	1.0	28.4326	Gratitude
35.31424996	1.0	28.4326	Gratitude
35.33564996	1.0	28.4326	Gratitude
35.35114996	1.0	28.4326	Gratitude
35.36544996	1.0	28.4326	Gratitude
35.38379996	1.0	28.4326	Gratitude
35.39429996	1.0	28.4326	Gratitude
35.40814996	1.0	28.4326	Gratitude
35.41704996	1.0	28.4326	Gratitude
35.42569996	1.0	28.4326	Gratitude
35.43219996	1.0	28.4326	Gratitude
35.43979996	1.0	28.4326	Gratitude
35.44859996	1.0	28.4326	Gratitude
35.45729996	1.0	28.4326	Gratitude
35.46744996	1.0	28.4326	Gratitude
35.48044996	1.0	28.4326	Gratitude
40.86829996	0.0	28.4326	Gratitude
40.87254996	0.0	28.4326	Gratitude
40.87369996	0.0	28.4326	Gratitude
40.88829996	0.0	28.4326	Gratitude
40.89224996	0.0	28.4326	Gratitude
40.89344996	0.0	28.4326	Gratitude
40.90844996	0.0	28.4326	Gratitude
40.91209996	0.0	28.4326	Gratitude
40.91319996	0.0	28.4326	Gratitude
40.92849996	0.0	28.4326	Gratitude
40.93089996	0.0	28.4326	Gratitude
40.93194996	0.0	28.4326	Gratitude
40.93329996	0.0	28.4326	Gratitude
40.94849996	0.0	28.4326	Gratitude
40.95174996	0.0	28.4326	Gratitude
40.96859996	0.0	28.4326	Gratitude
40.97114996	0.0	28.4326	Gratitude
40.98879996	0.0	28.4326	Gratitude
40.99079996	0.0	28.4326	Gratitude
41.00929996	0.0	28.4326	Gratitude
41.01029996	0.0	28.4326	Gratitude
41.02949996	0.0	28.4326	Gratitude
41.71769996	0.0	28.4326	Gratitude
41.72319996	0.0	28.4326	Gratitude
41.73879996	0.0	28.4326	Gratitude
41.75859996	0.0	28.4326	Gratitude
41.76339996	0.0	28.4326	Gratitude
41.77859996	0.0	28.4326	Gratitude
41.79904996	0.0	28.4326	Gratitude
41.81939996	0.0	28.4326	Gratitude
41.82074996	0.0	28.4326	Gratitude
46.85204996	1.0	45.331	Sadness
47.62994996	1.0	45.331	Sadness
47.96984996	1.0	45.331	Sadness
47.98814996	1.0	45.331	Sadness
48.01884996	1.0	45.331	Sadness
48.02649996	1.0	45.331	Sadness
48.03609996	1.0	45.331	Sadness
48.05034996	1.0	45.331	Sadness
48.07319996	1.0	45.331	Sadness
48.10199996	1.0	45.331	Sadness
48.12719996	1.0	45.331	Sadness
48.14109996	1.0	45.331	Sadness
48.17049996	1.0	45.331	Sadness
48.21399996	1.0	45.331	Sadness
49.39424996	1.0	45.331	Sadness
49.47894996	1.0	45.331	Sadness
49.53774996	1.0	45.331	Sadness
49.54799996	1.0	45.331	Sadness
49.55884996	1.0	45.331	Sadness
49.56444996	1.0	45.331	Sadness
49.57559996	1.0	45.331	Sadness
49.59569996	1.0	45.331	Sadness
49.86924996	1.0	45.331	Sadness
50.01254996	1.0	45.331	Sadness
50.07899996	1.0	45.331	Sadness
50.09039996	1.0	45.331	Sadness
50.09674996	1.0	45.331	Sadness
50.12309996	1.0	45.331	Sadness
50.13719996	1.0	45.331	Sadness
50.14759996	1.0	45.331	Sadness
50.15714996	1.0	45.331	Sadness
50.16769996	1.0	45.331	Sadness
50.27384996	1.0	45.331	Sadness
50.30719996	1.0	45.331	Sadness
50.33129996	1.0	45.331	Sadness
50.41839996	1.0	45.331	Sadness
50.46624996	1.0	45.331	Sadness
50.51979996	1.0	45.331	Sadness
50.69299996	1.0	45.331	Sadness
51.73269996	1.0	45.331	Sadness
52.44899996	1.0	45.331	Sadness
52.47219996	1.0	45.331	Sadness
52.48624996	1.0	45.331	Sadness
52.49354996	1.0	45.331	Sadness
52.49889996	1.0	45.331	Sadness
52.50554996	1.0	45.331	Sadness
52.51049996	1.0	45.331	Sadness
52.51584996	1.0	45.331	Sadness
52.53084996	1.0	45.331	Sadness
52.56719996	1.0	45.331	Sadness
52.58599996	1.0	45.331	Sadness
52.60729996	1.0	45.331	Sadness
52.63754996	1.0	45.331	Sadness
54.63894996	1.0	45.331	Sadness
54.67199996	1.0	45.331	Sadness
54.74144996	1.0	45.331	Sadness
