 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
81.21519995	1.0	 	 
81.23359995	1.0	 	 
81.24704995	1.0	 	 
81.26259995	1.0	 	 
81.27819995	1.0	 	 
81.29479995	1.0	 	 
81.30714995	1.0	 	 
81.31729995	1.0	 	 
81.32614995	1.0	 	 
81.33374995	1.0	 	 
81.34304995	1.0	 	 
81.36294995	1.0	 	 
81.38359995	1.0	 	 
81.47564995	1.0	 	 
82.73149995	1.0	 	 
605.435	1.0	 	 
605.61025	1.0	 	 
605.79635	1.0	 	 
606.37025	1.0	 	 
606.76965	1.0	 	 
606.96775	1.0	 	 
607.22715	1.0	 	 
607.4152	1.0	 	 
607.80575	1.0	 	 
607.99095	1.0	 	 
608.54485	1.0	 	 
609.1104	1.0	 	 
609.48585	1.0	 	 
609.676	1.0	 	 
609.8683	1.0	 	 
610.0658	1.0	 	 
610.25035	1.0	 	 
610.45235	1.0	 	 
610.65215	1.0	 	 
611.0638	1.0	 	 
611.59305	1.0	 	 
611.7711	1.0	 	 
611.96585	1.0	 	 
612.3689	1.0	 	 
612.5704	1.0	 	 
613.19235	1.0	 	 
613.37055	1.0	 	 
613.5554	1.0	 	 
613.74335	1.0	 	 
613.93125	1.0	 	 
614.1131	1.0	 	 
614.29735	0.0	 	 
614.4715	1.0	 	 
614.64885	0.0	 	 
615.01795	1.0	 	 
615.61535	1.0	 	 
615.7917	1.0	 	 
616.15315	1.0	 	 
616.3268	1.0	 	 
616.5654	1.0	 	 
616.74395	1.0	 	 
616.9257	1.0	 	 
617.4863	1.0	 	 
617.6529	1.0	 	 
617.8311	1.0	 	 
618.00785	1.0	 	 
618.19445	1.0	 	 
618.3864	1.0	 	 
618.5598	1.0	 	 
618.92065	1.0	 	 
619.1113	1.0	 	 
619.28745	1.0	 	 
619.4663	1.0	 	 
619.6436	1.0	 	 
619.8467	1.0	 	 
620.41445	1.0	 	 
620.96895	1.0	 	 
621.14375	1.0	 	 
621.70975	1.0	 	 
621.94475	1.0	 	 
622.12345	1.0	 	 
622.32455	1.0	 	 
622.5056	1.0	 	 
622.70325	1.0	 	 
623.24975	1.0	 	 
623.61615	1.0	 	 
623.7839	1.0	 	 
623.9641	1.0	 	 
624.15245	1.0	 	 
624.3342	1.0	 	 
624.764	1.0	 	 
624.94785	1.0	 	 
625.1296	1.0	 	 
625.3072	1.0	 	 
625.4835	1.0	 	 
625.6654	1.0	 	 
626.0458	1.0	 	 
626.25425	1.0	 	 
626.4474	1.0	 	 
626.6268	1.0	 	 
626.81005	1.0	 	 
627.01335	1.0	 	 
627.1932	1.0	 	 
627.37325	1.0	 	 
627.55775	0.0	 	 
627.77015	1.0	 	 
627.9529	1.0	 	 
628.34595	1.0	 	 
628.5681	1.0	 	 
628.76825	1.0	 	 
628.95645	1.0	 	 
629.145	1.0	 	 
629.3571	0.0	 	 
629.73245	1.0	 	 
629.90975	0.0	 	 
630.57005	1.0	 	 
630.7632	1.0	 	 
630.94855	1.0	 	 
631.1234	1.0	 	 
631.5341	1.0	 	 
631.7245	1.0	 	 
631.90885	1.0	 	 
632.28845	1.0	 	 
632.87145	1.0	 	 
633.0432	1.0	 	 
633.2319	1.0	 	 
633.78435	1.0	 	 
634.11315	1.0	 	 
634.2934	1.0	 	 
634.4707	1.0	 	 
634.63435	1.0	 	 
634.785	1.0	 	 
634.95415	1.0	 	 
635.1135	1.0	 	 
635.4739	1.0	 	 
635.83715	1.0	 	 
635.9973	1.0	 	 
636.3493	1.0	 	 
636.5666	1.0	 	 
636.7337	1.0	 	 
636.90955	1.0	 	 
637.08445	1.0	 	 
637.444	1.0	 	 
637.6253	1.0	 	 
637.78905	1.0	 	 
637.96795	1.0	 	 
638.17405	1.0	 	 
638.34725	1.0	 	 
638.52265	1.0	 	 
638.70415	1.0	 	 
638.8887	1.0	 	 
639.0543	1.0	 	 
639.2466	1.0	 	 
639.41615	0.0	 	 
639.58725	1.0	 	 
639.7892	1.0	 	 
639.9569	1.0	 	 
640.48195	1.0	 	 
640.6559	1.0	 	 
641.1764	1.0	 	 
641.36715	1.0	 	 
642.0757	1.0	 	 
642.27325	1.0	 	 
642.45595	1.0	 	 
642.6401	1.0	 	 
642.8097	0.0	 	 
642.8109	0.0	 	 
642.8119	0.0	 	 
642.81365	0.0	 	 
642.8174	0.0	 	 
642.825	0.0	 	 
642.8262	0.0	 	 
642.8273	0.0	 	 
642.82885	0.0	 	 
642.84535	0.0	 	 
642.84635	0.0	 	 
642.84735	0.0	 	 
642.865	0.0	 	 
642.8669	0.0	 	 
642.88515	0.0	 	 
642.88655	0.0	 	 
642.8879	0.0	 	 
642.9051	0.0	 	 
642.90625	0.0	 	 
642.90775	0.0	 	 
642.925	0.0	 	 
642.9262	0.0	 	 
642.92725	0.0	 	 
642.9451	0.0	 	 
642.94635	0.0	 	 
642.96515	0.0	 	 
642.9858	0.0	 	 
643.0071	0.0	 	 
643.02585	0.0	 	 
643.02725	0.0	 	 
643.0473	0.0	 	 
643.20055	1.0	 	 
643.26605	0.0	 	 
643.26745	0.0	 	 
643.28735	0.0	 	 
643.307	0.0	 	 
643.37325	1.0	 	 
643.55115	1.0	 	 
643.7291	1.0	 	 
643.9017	1.0	 	 
644.01455	0.0	 	 
644.01875	0.0	 	 
644.0341	0.0	 	 
644.039	0.0	 	 
644.0541	0.0	 	 
644.05525	0.0	 	 
644.05855	0.0	 	 
644.0745	0.0	 	 
644.07635	0.0	 	 
644.0779	0.0	 	 
644.079	0.0	 	 
644.0931	0.0	 	 
644.0945	0.0	 	 
644.0996	0.0	 	 
644.114	0.0	 	 
644.1192	0.0	 	 
644.1344	0.0	 	 
644.15435	0.0	 	 
644.1597	0.0	 	 
644.1744	0.0	 	 
644.17865	0.0	 	 
644.19445	0.0	 	 
644.19825	0.0	 	 
644.2151	0.0	 	 
644.21615	0.0	 	 
644.2179	0.0	 	 
644.2191	0.0	 	 
644.235	0.0	 	 
644.2362	0.0	 	 
644.2374	0.0	 	 
644.23865	0.0	 	 
644.2549	0.0	 	 
644.2563	0.0	 	 
644.2573	0.0	 	 
644.27465	0.0	 	 
644.2764	0.0	 	 
644.29525	0.0	 	 
644.297	0.0	 	 
644.3152	0.0	 	 
644.31685	0.0	 	 
644.33525	0.0	 	 
644.3374	0.0	 	 
644.4375	0.0	 	 
644.64635	1.0	 	 
644.8242	1.0	 	 
645.02425	1.0	 	 
645.212	1.0	 	 
645.3998	0.0	 	 
645.57285	1.0	 	 
645.75575	1.0	 	 
645.9467	1.0	 	 
646.12765	1.0	 	 
646.2707	0.0	 	 
646.2845	0.0	 	 
646.2858	0.0	 	 
646.28755	0.0	 	 
646.2889	0.0	 	 
646.30535	0.0	 	 
646.307	0.0	 	 
646.30835	0.0	 	 
646.32395	0.0	 	 
646.3253	0.0	 	 
646.32635	0.0	 	 
646.3275	0.0	 	 
646.34665	0.0	 	 
646.6862	1.0	 	 
646.86375	1.0	 	 
647.3329	1.0	 	 
647.5079	1.0	 	 
647.5561	0.0	 	 
647.55895	0.0	 	 
647.5761	0.0	 	 
647.5776	0.0	 	 
647.5786	0.0	 	 
647.59615	0.0	 	 
647.5976	0.0	 	 
647.5986	0.0	 	 
647.61665	0.0	 	 
647.63775	0.0	 	 
647.6573	0.0	 	 
647.6991	0.0	 	 
647.8831	1.0	 	 
647.8899	0.0	 	 
648.3179	0.0	 	 
648.3234	0.0	 	 
648.3347	0.0	 	 
648.33915	0.0	 	 
648.35575	0.0	 	 
648.69145	1.0	 	 
648.7955	0.0	 	 
648.79665	0.0	 	 
648.8158	0.0	 	 
648.8174	0.0	 	 
648.83565	0.0	 	 
648.85485	0.0	 	 
648.8567	0.0	 	 
648.85775	0.0	 	 
648.8773	0.0	 	 
648.8791	0.0	 	 
648.89745	0.0	 	 
649.0501	1.0	 	 
649.2374	0.0	 	 
649.40895	1.0	 	 
649.5883	0.0	 	 
649.745	1.0	 	 
649.88885	1.0	 	 
649.93575	1.0	 	 
650.05405	1.0	 	 
650.1474	1.0	 	 
650.5071	1.0	 	 
650.5921	1.0	 	 
650.6046	1.0	 	 
650.6149	1.0	 	 
650.62725	1.0	 	 
