 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
21.55	1.0	 	 
21.6056	1.0	 	 
24.01785	1.0	22.4634	Sadness
24.1156	1.0	22.4634	Sadness
24.4696	1.0	22.4634	Sadness
24.8171	1.0	22.4634	Sadness
24.9193	1.0	22.4634	Sadness
25.015	1.0	22.4634	Sadness
25.58895	0.0	22.4634	Sadness
25.6962	1.0	22.4634	Sadness
27.3396	1.0	22.4634	Sadness
27.4288	0.0	22.4634	Sadness
27.6804	1.0	22.4634	Sadness
27.751	1.0	22.4634	Sadness
27.9346	1.0	22.4634	Sadness
28.31085	1.0	22.4634	Sadness
28.73825	1.0	22.4634	Sadness
29.01645	1.0	22.4634	Sadness
30.5387	1.0	22.4634	Sadness
30.6196	1.0	22.4634	Sadness
30.7227	1.0	22.4634	Sadness
31.1756	1.0	22.4634	Sadness
31.2359	1.0	22.4634	Sadness
43.6653	0.0	42.1511	Attention
43.66895	0.0	42.1511	Attention
43.8572	0.0	42.1511	Attention
44.03785	1.0	42.1511	Attention
44.0445	1.0	42.1511	Attention
44.2237	1.0	42.1511	Attention
44.2353	1.0	42.1511	Attention
44.3956	1.0	42.1511	Attention
44.56875	1.0	42.1511	Attention
44.57475	1.0	42.1511	Attention
44.76875	1.0	42.1511	Attention
44.9565	1.0	42.1511	Attention
44.96115	1.0	42.1511	Attention
46.0604	0.0	42.1511	Attention
46.06445	0.0	42.1511	Attention
46.25685	1.0	42.1511	Attention
46.42275	1.0	42.1511	Attention
46.58995	1.0	42.1511	Attention
46.75705	1.0	42.1511	Attention
46.76645	1.0	42.1511	Attention
46.92045	1.0	42.1511	Attention
47.0918	1.0	42.1511	Attention
47.10015	1.0	42.1511	Attention
47.24645	1.0	42.1511	Attention
47.2508	0.0	42.1511	Attention
47.418	1.0	42.1511	Attention
47.42105	0.0	42.1511	Attention
48.56405	1.0	42.1511	Attention
48.5699	1.0	42.1511	Attention
48.7482	1.0	42.1511	Attention
48.75435	1.0	42.1511	Attention
48.90465	1.0	42.1511	Attention
48.91025	0.0	42.1511	Attention
49.0664	1.0	42.1511	Attention
49.0724	1.0	42.1511	Attention
49.24545	1.0	42.1511	Attention
49.2497	0.0	42.1511	Attention
49.4169	1.0	42.1511	Attention
49.4212	0.0	42.1511	Attention
49.58565	1.0	42.1511	Attention
49.5907	0.0	42.1511	Attention
49.76625	1.0	42.1511	Attention
49.9303	1.0	42.1511	Attention
49.93445	0.0	42.1511	Attention
50.1008	1.0	42.1511	Attention
50.10485	0.0	42.1511	Attention
51.4857	1.0	42.1511	Attention
51.48955	0.0	42.1511	Attention
51.6612	1.0	42.1511	Attention
51.66785	1.0	42.1511	Attention
51.82645	1.0	42.1511	Attention
51.8304	0.0	42.1511	Attention
52.00175	1.0	42.1511	Attention
52.0053	0.0	42.1511	Attention
52.0104	1.0	42.1511	Attention
52.1635	1.0	42.1511	Attention
52.325	1.0	42.1511	Attention
52.33125	1.0	42.1511	Attention
52.4835	1.0	42.1511	Attention
52.4874	0.0	42.1511	Attention
52.6655	1.0	42.1511	Attention
52.6689	0.0	42.1511	Attention
69.35775	1.0	67.7943	Love
69.82975	1.0	67.7943	Love
71.5405	1.0	67.7943	Love
74.7011	1.0	67.7943	Love
76.70045	1.0	67.7943	Love
76.8217	1.0	67.7943	Love
86.57245	1.0	85.0627	Calming
86.65315	1.0	85.0627	Calming
87.97285	1.0	85.0627	Calming
88.149	1.0	85.0627	Calming
88.8318	1.0	85.0627	Calming
88.9381	1.0	85.0627	Calming
90.6392	1.0	85.0627	Calming
90.8015	1.0	85.0627	Calming
90.86995	1.0	85.0627	Calming
90.97215	1.0	85.0627	Calming
93.60165	1.0	85.0627	Calming
93.77815	1.0	85.0627	Calming
101.97675	0.0	101.6045	Gratitude
102.60785	1.0	101.6045	Gratitude
103.073	1.0	101.6045	Gratitude
103.14765	1.0	101.6045	Gratitude
103.1942	1.0	101.6045	Gratitude
103.5387	1.0	101.6045	Gratitude
104.2483	1.0	101.6045	Gratitude
104.93555	1.0	101.6045	Gratitude
105.34705	1.0	101.6045	Gratitude
105.35845	1.0	101.6045	Gratitude
105.5194	1.0	101.6045	Gratitude
105.6939	1.0	101.6045	Gratitude
106.7908	1.0	101.6045	Gratitude
106.866	1.0	101.6045	Gratitude
106.9816	1.0	101.6045	Gratitude
108.44915	1.0	101.6045	Gratitude
109.34705	1.0	101.6045	Gratitude
109.5173	1.0	101.6045	Gratitude
110.373	1.0	101.6045	Gratitude
111.55645	1.0	101.6045	Gratitude
118.68775	1.0	117.9434	Happiness
118.7727	1.0	117.9434	Happiness
119.0513	1.0	117.9434	Happiness
119.174	1.0	117.9434	Happiness
119.26675	1.0	117.9434	Happiness
119.4376	1.0	117.9434	Happiness
119.62185	1.0	117.9434	Happiness
119.63505	1.0	117.9434	Happiness
120.0594	1.0	117.9434	Happiness
120.47735	1.0	117.9434	Happiness
120.68555	1.0	117.9434	Happiness
120.804	1.0	117.9434	Happiness
120.9708	1.0	117.9434	Happiness
120.976	1.0	117.9434	Happiness
121.161	1.0	117.9434	Happiness
121.16455	0.0	117.9434	Happiness
121.38425	1.0	117.9434	Happiness
121.38755	0.0	117.9434	Happiness
121.5959	1.0	117.9434	Happiness
121.70455	1.0	117.9434	Happiness
121.78595	1.0	117.9434	Happiness
121.85945	1.0	117.9434	Happiness
121.96525	1.0	117.9434	Happiness
122.0431	1.0	117.9434	Happiness
122.04735	0.0	117.9434	Happiness
122.147	1.0	117.9434	Happiness
122.2146	1.0	117.9434	Happiness
122.3863	1.0	117.9434	Happiness
122.55225	1.0	117.9434	Happiness
122.691	1.0	117.9434	Happiness
122.7929	0.0	117.9434	Happiness
122.8733	1.0	117.9434	Happiness
122.9842	1.0	117.9434	Happiness
123.0399	1.0	117.9434	Happiness
123.48845	1.0	117.9434	Happiness
123.66475	1.0	117.9434	Happiness
123.77835	1.0	117.9434	Happiness
123.8861	1.0	117.9434	Happiness
124.3679	1.0	117.9434	Happiness
124.4783	1.0	117.9434	Happiness
124.6039	1.0	117.9434	Happiness
124.6544	1.0	117.9434	Happiness
125.10785	1.0	117.9434	Happiness
125.4161	1.0	117.9434	Happiness
125.5941	1.0	117.9434	Happiness
125.756	1.0	117.9434	Happiness
125.76175	1.0	117.9434	Happiness
126.15035	1.0	117.9434	Happiness
126.1944	1.0	117.9434	Happiness
126.6201	1.0	117.9434	Happiness
126.87975	1.0	117.9434	Happiness
127.02965	1.0	117.9434	Happiness
127.03935	1.0	117.9434	Happiness
127.262	1.0	117.9434	Happiness
127.26785	1.0	117.9434	Happiness
127.43055	1.0	117.9434	Happiness
127.6073	1.0	117.9434	Happiness
128.0665	1.0	117.9434	Happiness
128.23535	1.0	117.9434	Happiness
128.3403	1.0	117.9434	Happiness
128.41425	1.0	117.9434	Happiness
128.4666	1.0	117.9434	Happiness
137.01045	1.0	135.595	Calming
137.09515	1.0	135.595	Calming
137.15165	1.0	135.595	Calming
139.1603	1.0	135.595	Calming
139.6525	1.0	135.595	Calming
139.72105	1.0	135.595	Calming
139.76055	1.0	135.595	Calming
139.82025	1.0	135.595	Calming
139.8842	1.0	135.595	Calming
142.13655	1.0	135.595	Calming
142.1783	1.0	135.595	Calming
142.227	1.0	135.595	Calming
142.3868	1.0	135.595	Calming
142.4604	1.0	135.595	Calming
164.8029	0.0	163.8287	Happiness
165.33855	1.0	163.8287	Happiness
165.47625	1.0	163.8287	Happiness
166.08595	1.0	163.8287	Happiness
166.27595	1.0	163.8287	Happiness
166.6844	1.0	163.8287	Happiness
166.88235	1.0	163.8287	Happiness
166.9619	1.0	163.8287	Happiness
167.14895	1.0	163.8287	Happiness
167.3142	1.0	163.8287	Happiness
167.4972	1.0	163.8287	Happiness
167.60105	1.0	163.8287	Happiness
168.0065	1.0	163.8287	Happiness
168.58355	1.0	163.8287	Happiness
168.80585	1.0	163.8287	Happiness
168.88445	1.0	163.8287	Happiness
169.04245	1.0	163.8287	Happiness
169.253	1.0	163.8287	Happiness
169.41315	1.0	163.8287	Happiness
170.6874	1.0	163.8287	Happiness
170.8747	1.0	163.8287	Happiness
171.04345	1.0	163.8287	Happiness
