 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
0.0001	0.0	 	 
0.0045	0.0	 	 
0.00585	0.0	 	 
0.00855	0.0	 	 
0.0127	0.0	 	 
0.01715	0.0	 	 
0.01815	0.0	 	 
0.0193	0.0	 	 
0.02085	0.0	 	 
0.02205	0.0	 	 
0.0235	0.0	 	 
0.0255	0.0	 	 
0.02775	0.0	 	 
0.0293	0.0	 	 
0.03055	0.0	 	 
0.032	0.0	 	 
0.0381	0.0	 	 
0.0394	0.0	 	 
0.041	0.0	 	 
0.04295	0.0	 	 
0.0448	0.0	 	 
0.0458	0.0	 	 
0.04715	0.0	 	 
0.04815	0.0	 	 
0.0501	0.0	 	 
0.05265	0.0	 	 
0.05755	0.0	 	 
0.0591	0.0	 	 
0.06095	0.0	 	 
0.0639	0.0	 	 
0.06625	0.0	 	 
0.0677	0.0	 	 
0.06965	0.0	 	 
0.0708	0.0	 	 
0.07205	0.0	 	 
0.0748	0.0	 	 
0.0759	0.0	 	 
0.07865	0.0	 	 
0.08315	0.0	 	 
0.0873	0.0	 	 
0.08885	0.0	 	 
0.08995	0.0	 	 
0.09125	0.0	 	 
0.0939	0.0	 	 
0.09555	0.0	 	 
0.09825	0.0	 	 
0.1018	0.0	 	 
0.1032	0.0	 	 
0.10555	0.0	 	 
0.1119	0.0	 	 
0.1135	0.0	 	 
0.1146	0.0	 	 
0.1163	0.0	 	 
0.1191	0.0	 	 
0.1206	0.0	 	 
0.1234	0.0	 	 
0.1253	0.0	 	 
0.12655	0.0	 	 
0.12805	0.0	 	 
0.1313	0.0	 	 
0.13425	0.0	 	 
0.13555	0.0	 	 
0.1371	0.0	 	 
0.1386	0.0	 	 
0.1397	0.0	 	 
0.1412	0.0	 	 
0.1431	0.0	 	 
0.1444	0.0	 	 
0.1459	0.0	 	 
0.14925	0.0	 	 
0.1503	0.0	 	 
0.15265	0.0	 	 
0.1548	0.0	 	 
0.15695	0.0	 	 
0.15895	0.0	 	 
0.1612	0.0	 	 
0.16235	0.0	 	 
0.1643	0.0	 	 
0.1664	0.0	 	 
0.168	0.0	 	 
0.16985	0.0	 	 
0.1746	0.0	 	 
0.17575	0.0	 	 
0.17695	0.0	 	 
0.17975	0.0	 	 
0.18545	0.0	 	 
0.18705	0.0	 	 
0.19015	0.0	 	 
0.19235	0.0	 	 
0.1952	0.0	 	 
0.198	0.0	 	 
7508.252196	0.0	 	 
7508.253696	0.0	 	 
7515.444746	0.0	 	 
7527.221796	0.0	 	 
7528.474446	0.0	 	 
7531.993896	1.0	 	 
7541.232596	1.0	 	 
7541.297146	1.0	 	 
7541.765796	1.0	 	 
7542.458896	0.0	 	 
7542.477646	0.0	 	 
7542.479196	0.0	 	 
7542.480246	0.0	 	 
7547.172146	0.0	 	 
7554.154196	1.0	 	 
7554.240446	1.0	 	 
7554.369696	1.0	 	 
7554.522096	1.0	 	 
7554.699896	1.0	 	 
7556.908346	0.0	 	 
7558.398796	0.0	 	 
7559.296296	1.0	 	 
7562.197046	0.0	 	 
7562.198796	0.0	 	 
7565.750896	0.0	 	 
7571.620546	1.0	 	 
7571.908546	0.0	 	 
7572.276796	1.0	 	 
7583.688696	0.0	 	 
7583.827396	0.0	 	 
7586.794946	1.0	 	 
7588.223646	0.0	 	 
7594.520146	0.0	 	 
7594.521146	0.0	 	 
7594.593396	0.0	 	 
7594.715946	0.0	 	 
7594.716946	0.0	 	 
7613.228046	0.0	 	 
7613.457046	1.0	 	 
7613.507996	1.0	 	 
7613.551496	1.0	 	 
7613.659996	1.0	 	 
7613.823246	1.0	 	 
7614.060746	1.0	 	 
7622.292096	0.0	 	 
7623.294696	0.0	 	 
7628.528146	0.0	 	 
7628.737596	1.0	 	 
7640.200996	0.0	 	 
7640.202646	0.0	 	 
7640.204496	0.0	 	 
7641.136046	1.0	 	 
7647.076296	0.0	 	 
7649.545146	0.0	 	 
7649.548046	0.0	 	 
7649.559946	0.0	 	 
7650.327946	0.0	 	 
7654.585346	0.0	 	 
7654.586596	0.0	 	 
7660.340846	0.0	 	 
7662.784346	1.0	 	 
7663.155646	1.0	 	 
7663.599796	1.0	 	 
7663.836496	1.0	 	 
7664.402596	1.0	 	 
7675.719296	0.0	 	 
7677.262946	1.0	 	 
7677.382496	1.0	 	 
7677.631996	1.0	 	 
7677.676146	1.0	 	 
7677.712096	1.0	 	 
7677.742146	1.0	 	 
7677.768796	1.0	 	 
7677.793596	1.0	 	 
7677.817646	1.0	 	 
7677.844346	1.0	 	 
7677.875396	1.0	 	 
7677.906396	1.0	 	 
7677.936746	1.0	 	 
7677.967496	1.0	 	 
7677.997896	1.0	 	 
7678.029546	1.0	 	 
7678.067446	1.0	 	 
7678.105746	1.0	 	 
7678.143096	1.0	 	 
7678.173496	1.0	 	 
7678.202746	1.0	 	 
7678.240396	1.0	 	 
7678.289996	1.0	 	 
7678.336546	1.0	 	 
7678.403546	1.0	 	 
7678.533096	1.0	 	 
7678.786196	1.0	 	 
7685.611946	0.0	 	 
7692.476296	1.0	 	 
7692.571346	1.0	 	 
7692.689346	1.0	 	 
7692.802246	1.0	 	 
7693.590496	1.0	 	 
7693.858996	1.0	 	 
7695.240246	1.0	 	 
7695.594096	1.0	 	 
7695.596296	0.0	 	 
7695.598646	0.0	 	 
7696.204746	1.0	 	 
7698.486396	1.0	 	 
7698.557846	1.0	 	 
7698.900646	1.0	 	 
7707.440096	1.0	 	 
7707.499796	1.0	 	 
7707.582096	1.0	 	 
7707.636596	1.0	 	 
7711.953496	1.0	 	 
7712.079296	1.0	 	 
7712.182046	1.0	 	 
7712.329546	1.0	 	 
7712.361296	0.0	 	 
7712.605696	1.0	 	 
7714.407246	0.0	 	 
7714.488096	1.0	 	 
7724.157746	0.0	 	 
7724.180896	0.0	 	 
7724.929346	0.0	 	 
7726.911246	1.0	 	 
7726.979046	1.0	 	 
7727.039046	1.0	 	 
7727.101496	1.0	 	 
7727.164596	1.0	 	 
7727.237146	1.0	 	 
7727.349096	1.0	 	 
7727.488446	1.0	 	 
7727.576446	1.0	 	 
7728.124946	1.0	 	 
7728.382796	1.0	 	 
7728.819796	0.0	 	 
7728.820946	0.0	 	 
7729.041046	1.0	 	 
7729.306596	1.0	 	 
7729.500496	1.0	 	 
7730.124496	1.0	 	 
7730.249396	1.0	 	 
7730.617146	1.0	 	 
7731.770796	1.0	 	 
7732.210146	1.0	 	 
7732.602846	1.0	 	 
7741.877096	1.0	 	 
7741.916196	1.0	 	 
7741.953346	1.0	 	 
7742.050596	1.0	 	 
7742.837346	1.0	 	 
7742.925796	1.0	 	 
7746.489996	1.0	 	 
7746.530096	1.0	 	 
7746.559946	1.0	 	 
7746.587346	1.0	 	 
7746.614146	1.0	 	 
7746.640346	1.0	 	 
7746.667646	1.0	 	 
7746.696846	1.0	 	 
7746.726146	1.0	 	 
7746.753346	1.0	 	 
7746.779046	1.0	 	 
7746.803246	1.0	 	 
7746.827596	1.0	 	 
7746.852796	1.0	 	 
7746.877796	1.0	 	 
7746.902446	1.0	 	 
7746.928046	1.0	 	 
7746.955296	1.0	 	 
7746.984846	1.0	 	 
7747.015796	1.0	 	 
7747.046496	1.0	 	 
7747.075496	1.0	 	 
7747.104496	1.0	 	 
7747.135946	1.0	 	 
7747.170446	1.0	 	 
7747.208746	1.0	 	 
7747.245546	1.0	 	 
7747.278946	1.0	 	 
7747.310396	1.0	 	 
7747.343846	1.0	 	 
7747.378896	1.0	 	 
7747.416146	1.0	 	 
7747.458146	1.0	 	 
7747.506646	1.0	 	 
7747.595596	1.0	 	 
7747.663196	1.0	 	 
7747.711846	1.0	 	 
7747.837796	1.0	 	 
7747.986796	1.0	 	 
7748.056346	1.0	 	 
7748.369596	1.0	 	 
7748.563146	1.0	 	 
7748.888996	1.0	 	 
7749.069346	0.0	 	 
7749.482446	1.0	 	 
7749.780796	1.0	 	 
7750.221796	1.0	 	 
7751.583846	1.0	 	 
7753.449796	1.0	 	 
7753.496746	1.0	 	 
7755.653696	0.0	 	 
7755.654746	0.0	 	 
7760.281246	0.0	 	 
7760.828846	0.0	 	 
7762.940646	0.0	 	 
7762.981746	1.0	 	 
