 	Spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
22.4882501	2.0	22.4883	Love
4.902300095	1.0	2.976	Attention
5.007200095	1.0	2.976	Attention
5.074700095	1.0	2.976	Attention
5.184450095	1.0	2.976	Attention
5.364500095	1.0	2.976	Attention
5.552000095	1.0	2.976	Attention
5.722500095	1.0	2.976	Attention
6.705050095	1.0	2.976	Attention
6.914850095	1.0	2.976	Attention
7.137800095	1.0	2.976	Attention
7.328700095	1.0	2.976	Attention
7.399700095	1.0	2.976	Attention
7.504150095	1.0	2.976	Attention
7.580150095	1.0	2.976	Attention
7.684000095	1.0	2.976	Attention
8.220600095	1.0	2.976	Attention
8.300600095	1.0	2.976	Attention
8.410050095	1.0	2.976	Attention
8.594150095	1.0	2.976	Attention
8.761750095	1.0	2.976	Attention
9.171400095	1.0	2.976	Attention
10.3017001	1.0	2.976	Attention
10.4811501	1.0	2.976	Attention
10.5439001	1.0	2.976	Attention
10.6380001	1.0	2.976	Attention
10.7054001	1.0	2.976	Attention
10.9816001	1.0	2.976	Attention
11.4737501	1.0	2.976	Attention
12.4459001	1.0	2.976	Attention
12.8004501	1.0	2.976	Attention
12.9806001	1.0	2.976	Attention
13.3030501	1.0	2.976	Attention
13.4783501	1.0	2.976	Attention
49.4300001	1.0	40.317	Calming
49.7152001	1.0	40.317	Calming
59.4180001	1.0	57.4089	Sadness
59.5857501	1.0	57.4089	Sadness
59.7201501	1.0	57.4089	Sadness
59.8461001	1.0	57.4089	Sadness
60.0444501	1.0	57.4089	Sadness
62.1021501	1.0	57.4089	Sadness
62.2797501	1.0	57.4089	Sadness
63.6552501	0.0	57.4089	Sadness
63.6954501	0.0	57.4089	Sadness
63.7159501	0.0	57.4089	Sadness
67.2591001	1.0	57.4089	Sadness
67.5171001	1.0	57.4089	Sadness
67.6347001	1.0	57.4089	Sadness
67.7573501	1.0	57.4089	Sadness
145.9533001	1.0	145.832	Happiness
146.1247501	1.0	145.832	Happiness
146.2059501	1.0	145.832	Happiness
146.4188001	1.0	145.832	Happiness
146.5665501	1.0	145.832	Happiness
146.6055001	1.0	145.832	Happiness
146.7798501	1.0	145.832	Happiness
146.9363501	1.0	145.832	Happiness
147.0798501	1.0	145.832	Happiness
147.1073001	1.0	145.832	Happiness
147.1873001	1.0	145.832	Happiness
147.2536001	1.0	145.832	Happiness
147.3008501	1.0	145.832	Happiness
147.3996001	1.0	145.832	Happiness
147.4470501	1.0	145.832	Happiness
147.4594501	1.0	145.832	Happiness
147.5048501	1.0	145.832	Happiness
147.6666001	1.0	145.832	Happiness
147.8583001	1.0	145.832	Happiness
148.0338501	1.0	145.832	Happiness
148.2490001	1.0	145.832	Happiness
148.4323501	1.0	145.832	Happiness
148.6091501	1.0	145.832	Happiness
148.7479501	1.0	145.832	Happiness
148.8080001	1.0	145.832	Happiness
148.8124001	1.0	145.832	Happiness
148.9213001	1.0	145.832	Happiness
148.9950501	1.0	145.832	Happiness
149.0532001	1.0	145.832	Happiness
149.0745001	1.0	145.832	Happiness
149.1935501	1.0	145.832	Happiness
149.2446001	1.0	145.832	Happiness
149.3900001	1.0	145.832	Happiness
149.4415001	1.0	145.832	Happiness
149.5948501	1.0	145.832	Happiness
149.6430001	1.0	145.832	Happiness
149.7952501	1.0	145.832	Happiness
149.8320001	1.0	145.832	Happiness
150.0216501	1.0	145.832	Happiness
150.2263501	1.0	145.832	Happiness
150.3934501	1.0	145.832	Happiness
150.5059001	1.0	145.832	Happiness
150.5766501	1.0	145.832	Happiness
150.7012001	1.0	145.832	Happiness
150.7516001	1.0	145.832	Happiness
150.7608001	1.0	145.832	Happiness
150.7987001	1.0	145.832	Happiness
150.8773001	1.0	145.832	Happiness
150.9475001	1.0	145.832	Happiness
151.1565501	1.0	145.832	Happiness
151.3318001	1.0	145.832	Happiness
151.5633501	1.0	145.832	Happiness
151.7798501	1.0	145.832	Happiness
151.9369001	1.0	145.832	Happiness
152.0307001	1.0	145.832	Happiness
152.0924501	1.0	145.832	Happiness
152.2800001	1.0	145.832	Happiness
152.3129501	1.0	145.832	Happiness
152.4809001	1.0	145.832	Happiness
152.5654001	1.0	145.832	Happiness
152.6554001	1.0	145.832	Happiness
152.7979001	1.0	145.832	Happiness
153.2056501	1.0	145.832	Happiness
153.5243001	1.0	145.832	Happiness
153.7683001	1.0	145.832	Happiness
153.9561001	1.0	145.832	Happiness
154.1248501	1.0	145.832	Happiness
154.2192501	1.0	145.832	Happiness
154.2874501	1.0	145.832	Happiness
154.3248001	1.0	145.832	Happiness
154.4043001	1.0	145.832	Happiness
154.4706501	1.0	145.832	Happiness
154.5190001	1.0	145.832	Happiness
154.6749001	1.0	145.832	Happiness
154.7185001	1.0	145.832	Happiness
154.8846501	1.0	145.832	Happiness
155.0637001	1.0	145.832	Happiness
155.1100001	1.0	145.832	Happiness
155.2669001	1.0	145.832	Happiness
155.4544501	1.0	145.832	Happiness
155.6535501	1.0	145.832	Happiness
155.7230001	1.0	145.832	Happiness
155.8150501	0.0	145.832	Happiness
155.8522001	1.0	145.832	Happiness
156.0444001	1.0	145.832	Happiness
156.2421001	0.0	145.832	Happiness
156.2451001	0.0	145.832	Happiness
195.6571001	1.0	193.2537	Love
197.8971001	1.0	193.2537	Love
198.0750501	1.0	193.2537	Love
198.1771001	1.0	193.2537	Love
200.5622501	1.0	193.2537	Love
201.6162001	1.0	193.2537	Love
201.8620001	1.0	193.2537	Love
203.6738501	1.0	193.2537	Love
204.0758001	1.0	193.2537	Love
214.2194001	1.0	213.1338	Calming
214.3429501	1.0	213.1338	Calming
214.6012001	1.0	213.1338	Calming
214.9213001	1.0	213.1338	Calming
217.3956001	1.0	213.1338	Calming
217.4773501	1.0	213.1338	Calming
217.9609001	1.0	213.1338	Calming
220.7750001	1.0	213.1338	Calming
220.8317001	1.0	213.1338	Calming
220.8590001	1.0	213.1338	Calming
220.8871001	1.0	213.1338	Calming
220.9308001	1.0	213.1338	Calming
221.1553001	1.0	213.1338	Calming
221.2908501	1.0	213.1338	Calming
221.4379501	1.0	213.1338	Calming
231.2960001	1.0	229.2954	Sadness
231.4262001	1.0	229.2954	Sadness
231.5035001	1.0	229.2954	Sadness
231.5681001	1.0	229.2954	Sadness
231.6532501	1.0	229.2954	Sadness
231.7526501	1.0	229.2954	Sadness
231.8324001	1.0	229.2954	Sadness
231.9147001	1.0	229.2954	Sadness
232.0092501	1.0	229.2954	Sadness
232.1644501	1.0	229.2954	Sadness
233.2799501	1.0	229.2954	Sadness
233.3903001	1.0	229.2954	Sadness
235.7873501	1.0	229.2954	Sadness
236.2175501	1.0	229.2954	Sadness
236.8346001	1.0	229.2954	Sadness
236.9195501	1.0	229.2954	Sadness
237.0616501	1.0	229.2954	Sadness
237.3853501	1.0	229.2954	Sadness
237.5455001	1.0	229.2954	Sadness
237.7565001	1.0	229.2954	Sadness
237.9159501	1.0	229.2954	Sadness
237.9999501	1.0	229.2954	Sadness
239.6696001	1.0	229.2954	Sadness
240.0928001	1.0	229.2954	Sadness
240.1887001	1.0	229.2954	Sadness
240.3023001	1.0	229.2954	Sadness
247.9048501	1.0	246.2029	Happiness
248.3213001	1.0	246.2029	Happiness
248.7210001	1.0	246.2029	Happiness
248.9220001	1.0	246.2029	Happiness
249.3007001	1.0	246.2029	Happiness
249.3241001	1.0	246.2029	Happiness
249.7094001	1.0	246.2029	Happiness
249.7620501	1.0	246.2029	Happiness
250.5070501	1.0	246.2029	Happiness
250.8724001	1.0	246.2029	Happiness
250.9137001	1.0	246.2029	Happiness
251.1053001	1.0	246.2029	Happiness
251.5442501	1.0	246.2029	Happiness
252.5485501	1.0	246.2029	Happiness
252.7061501	1.0	246.2029	Happiness
253.0610001	1.0	246.2029	Happiness
253.4228001	1.0	246.2029	Happiness
254.5457501	1.0	246.2029	Happiness
255.6456001	1.0	246.2029	Happiness
256.5364001	1.0	246.2029	Happiness
256.7812501	1.0	246.2029	Happiness
265.5451001	1.0	263.8441	Gratitude
265.7752501	1.0	263.8441	Gratitude
265.8790501	1.0	263.8441	Gratitude
265.9398501	1.0	263.8441	Gratitude
265.9935001	1.0	263.8441	Gratitude
