 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
8131.3858	0.0	 	 
8131.8495	1.0	 	 
8131.8973	1.0	 	 
8131.9287	1.0	 	 
8131.96285	1.0	 	 
8131.98715	1.0	 	 
8132.00855	1.0	 	 
8132.0434	1.0	 	 
8132.0715	1.0	 	 
8132.14325	1.0	 	 
8132.1689	1.0	 	 
8132.19805	1.0	 	 
8132.23405	1.0	 	 
8132.26845	1.0	 	 
8132.36545	1.0	 	 
8132.39155	1.0	 	 
8132.43415	1.0	8132.4225	soft brush
8132.55745	1.0	8132.4225	soft brush
8132.6251	1.0	8132.4225	soft brush
8132.656	1.0	8132.4225	soft brush
8132.75995	1.0	8132.4225	soft brush
8132.82975	1.0	8132.4225	soft brush
8133.5902	1.0	8132.4225	soft brush
9489.1903	0.0	 	 
9491.5284	1.0	9491.325	love
9491.7106	1.0	9491.325	love
9491.9329	1.0	9491.325	love
9491.9554	1.0	9491.325	love
9492.08995	1.0	9491.325	love
9492.49175	0.0	9491.325	love
9493.72265	1.0	9491.325	love
9494.5396	1.0	9491.325	love
9494.5711	1.0	9491.325	love
9494.5993	1.0	9491.325	love
9494.73015	1.0	9491.325	love
9495.5353	1.0	9491.325	love
9496.1505	1.0	9491.325	love
9496.2722	1.0	9491.325	love
9496.3353	1.0	9491.325	love
9496.47215	1.0	9491.325	love
9496.5319	1.0	9491.325	love
9497.05425	1.0	9491.325	love
9497.085	1.0	9491.325	love
9497.11305	1.0	9491.325	love
9497.82525	1.0	9491.325	love
9498.0432	1.0	9491.325	love
9498.19005	1.0	9491.325	love
9498.20325	0.0	9491.325	love
9498.33265	0.0	9491.325	love
9498.3388	0.0	9491.325	love
9498.4755	0.0	9491.325	love
9498.48155	0.0	9491.325	love
9498.5488	1.0	9491.325	love
9498.58085	1.0	9491.325	love
9498.59175	0.0	9491.325	love
9498.5974	0.0	9491.325	love
9498.6066	1.0	9491.325	love
9498.6763	1.0	9491.325	love
9498.7231	0.0	9491.325	love
9498.72525	0.0	9491.325	love
9498.74955	1.0	9491.325	love
9498.8325	0.0	9491.325	love
9498.83835	0.0	9491.325	love
9498.89005	1.0	9491.325	love
9498.9174	1.0	9491.325	love
9498.94055	0.0	9491.325	love
9498.9464	0.0	9491.325	love
9498.95645	1.0	9491.325	love
9499.0366	0.0	9491.325	love
9499.04235	0.0	9491.325	love
9499.0452	1.0	9491.325	love
9499.0653	1.0	9491.325	love
9499.14135	0.0	9491.325	love
9499.14725	0.0	9491.325	love
9499.2327	0.0	9491.325	love
9499.2386	0.0	9491.325	love
9499.32285	0.0	9491.325	love
9499.32865	0.0	9491.325	love
9499.33465	1.0	9491.325	love
9499.419	0.0	9491.325	love
9499.42475	0.0	9491.325	love
9499.5044	0.0	9491.325	love
9499.51005	0.0	9491.325	love
9499.59285	0.0	9491.325	love
9499.59825	0.0	9491.325	love
9499.6805	0.0	9491.325	love
9499.6862	0.0	9491.325	love
9499.76955	0.0	9491.325	love
9499.77505	0.0	9491.325	love
9499.8652	0.0	9491.325	love
9499.8706	0.0	9491.325	love
9499.96445	0.0	9491.325	love
9499.9699	0.0	9491.325	love
9500.06055	0.0	9491.325	love
9500.0661	0.0	9491.325	love
9500.14955	0.0	9491.325	love
9500.15525	0.0	9491.325	love
9500.24525	0.0	9491.325	love
9500.2508	0.0	9491.325	love
9500.331	0.0	9491.325	love
9500.33655	0.0	9491.325	love
9500.41865	0.0	9491.325	love
9500.42435	0.0	9491.325	love
9500.48145	1.0	9491.325	love
9500.52255	0.0	9491.325	love
9500.52805	0.0	9491.325	love
9500.56415	1.0	9491.325	love
9500.6121	0.0	9491.325	love
9500.61785	0.0	9491.325	love
9500.7013	0.0	9491.325	love
9500.70705	0.0	9491.325	love
9500.79075	0.0	9491.325	love
9500.79615	0.0	9491.325	love
9500.88475	0.0	9491.325	love
9500.89045	0.0	9491.325	love
9500.9705	0.0	9491.325	love
9500.9761	0.0	9491.325	love
9501.00765	1.0	9491.325	love
9501.06935	0.0	9491.325	love
9501.075	0.0	9491.325	love
9501.07795	1.0	9491.325	love
9501.10245	1.0	9491.325	love
9501.1595	0.0	9491.325	love
9501.1647	0.0	9491.325	love
9501.17635	1.0	9491.325	love
9501.20145	1.0	9491.325	love
9501.22835	1.0	9491.325	love
9501.25085	0.0	9491.325	love
9501.25655	0.0	9491.325	love
9501.3494	0.0	9491.325	love
9501.35505	0.0	9491.325	love
9501.4514	0.0	9491.325	love
9501.4538	0.0	9491.325	love
9501.4572	0.0	9491.325	love
9501.49475	1.0	9491.325	love
9501.5444	1.0	9491.325	love
9501.5567	0.0	9491.325	love
9501.56245	0.0	9491.325	love
9501.5795	1.0	9491.325	love
9501.6495	0.0	9491.325	love
9501.655	0.0	9491.325	love
9501.6605	1.0	9491.325	love
9501.7388	0.0	9491.325	love
9501.7445	0.0	9491.325	love
9501.83425	0.0	9491.325	love
9501.83995	0.0	9491.325	love
9501.879	1.0	9491.325	love
9501.92935	0.0	9491.325	love
9501.9347	0.0	9491.325	love
9502.02295	0.0	9491.325	love
9502.0285	0.0	9491.325	love
9502.0717	1.0	9491.325	love
9502.12135	0.0	9491.325	love
9502.12705	0.0	9491.325	love
9502.23145	0.0	9491.325	love
9502.2371	0.0	9491.325	love
9502.32385	0.0	9491.325	love
9502.32945	0.0	9491.325	love
9502.4189	0.0	9491.325	love
9502.4246	0.0	9491.325	love
9502.50945	0.0	9491.325	love
9502.515	0.0	9491.325	love
9502.60525	0.0	9491.325	love
9502.61105	0.0	9491.325	love
9502.7163	0.0	9491.325	love
9502.722	0.0	9491.325	love
9502.81045	0.0	9491.325	love
9502.8159	0.0	9491.325	love
9502.92075	0.0	9491.325	love
9502.9263	0.0	9491.325	love
9503.0341	0.0	9491.325	love
9503.03965	0.0	9491.325	love
9503.14525	0.0	9491.325	love
9503.151	0.0	9491.325	love
9503.26385	0.0	9491.325	love
9503.26985	0.0	9491.325	love
9503.29545	1.0	9491.325	love
9503.38	0.0	9491.325	love
9503.38585	0.0	9491.325	love
9503.388	1.0	9491.325	love
9503.4674	1.0	9491.325	love
9503.51025	0.0	9491.325	love
9503.5161	0.0	9491.325	love
9503.6307	0.0	9491.325	love
9503.63635	0.0	9491.325	love
9503.67455	1.0	9491.325	love
9503.6953	1.0	9491.325	love
9503.72025	1.0	9491.325	love
9503.74965	0.0	9491.325	love
9503.7553	0.0	9491.325	love
9503.8556	1.0	9491.325	love
9503.88285	1.0	9491.325	love
9503.88515	0.0	9491.325	love
9503.891	0.0	9491.325	love
9503.98895	1.0	9491.325	love
9504.0118	0.0	9491.325	love
9504.0177	0.0	9491.325	love
9504.1236	1.0	9491.325	love
9504.13075	0.0	9491.325	love
9504.13655	0.0	9491.325	love
9504.2449	0.0	9491.325	love
9504.25075	0.0	9491.325	love
9504.355	0.0	9491.325	love
9504.36085	0.0	9491.325	love
9504.48085	0.0	9491.325	love
9504.48655	0.0	9491.325	love
9504.57835	1.0	9491.325	love
9504.59175	0.0	9491.325	love
9504.5975	0.0	9491.325	love
9504.60165	1.0	9491.325	love
9504.69455	0.0	9491.325	love
9504.7005	0.0	9491.325	love
9504.7221	1.0	9491.325	love
9504.81825	1.0	9491.325	love
9504.821	0.0	9491.325	love
9504.827	0.0	9491.325	love
9504.92705	0.0	9491.325	love
9504.93275	0.0	9491.325	love
9505.02355	0.0	9491.325	love
9505.0291	0.0	9491.325	love
9505.12225	0.0	9491.325	love
9505.12775	0.0	9491.325	love
9505.2531	0.0	9491.325	love
9505.2589	0.0	9491.325	love
9505.3647	0.0	9491.325	love
9505.37035	0.0	9491.325	love
9505.4605	0.0	9491.325	love
9505.46625	0.0	9491.325	love
9505.5557	0.0	9491.325	love
9505.56135	0.0	9491.325	love
9505.651	0.0	9491.325	love
9505.65675	0.0	9491.325	love
9505.7511	0.0	9491.325	love
9505.7569	0.0	9491.325	love
9505.8486	0.0	9491.325	love
9505.85425	0.0	9491.325	love
9505.9538	0.0	9491.325	love
9505.9596	0.0	9491.325	love
9506.0503	0.0	9491.325	love
9506.05595	0.0	9491.325	love
9506.1485	1.0	9491.325	love
9506.1547	0.0	9491.325	love
