UnitName,UnitType,StimNumber,Stimulus,isi.sec,Presentation,time.sec,IFF
SC-17-2,MS,1,gratitude,0.142,1,0.142,7.042253521126761
SC-17-2,MS,1,gratitude,0.1,1,0.242,10
SC-17-2,MS,1,gratitude,0.096,1,0.33799999999999997,10.416666666666666
SC-17-2,MS,1,gratitude,0.135,1,0.473,7.4074074074074066
SC-17-2,MS,1,gratitude,0.101,1,0.5740000000000001,9.900990099009901
SC-17-2,MS,1,gratitude,0.093,1,0.667,10.75268817204301
SC-17-2,MS,1,gratitude,0.135,1,0.802,7.4074074074074066
SC-17-2,MS,1,gratitude,0.142,1,0.944,7.042253521126761
SC-17-2,MS,1,gratitude,0.132,1,1.076,7.575757575757575
SC-17-2,MS,1,gratitude,0.146,1,1.222,6.849315068493151
SC-17-2,MS,1,gratitude,0.134,1,1.356,7.462686567164178
SC-17-2,MS,1,gratitude,0.133,1,1.489,7.518796992481203
SC-17-2,MS,1,gratitude,0.152,1,1.641,6.578947368421053
SC-17-2,MS,1,gratitude,0.139,1,1.78,7.1942446043165464
SC-17-2,MS,1,gratitude,0.14,1,1.92,7.142857142857142
SC-17-2,MS,1,gratitude,0.152,1,2.072,6.578947368421053
SC-17-2,MS,1,gratitude,0.161,1,2.233,6.211180124223603
SC-17-2,MS,1,gratitude,0.164,1,2.3970000000000002,6.097560975609756
SC-17-2,MS,1,gratitude,0.156,1,2.553,6.410256410256411
SC-17-2,MS,1,gratitude,0.159,1,2.712,6.289308176100628
SC-17-2,MS,1,gratitude,0.161,1,2.873,6.211180124223603
SC-17-2,MS,1,gratitude,0.156,1,3.029,6.410256410256411
SC-17-2,MS,1,gratitude,0.18,1,3.209,5.555555555555555
SC-17-2,MS,1,gratitude,0.196,1,3.4050000000000002,5.1020408163265305
SC-17-2,MS,1,gratitude,0.18,1,3.585,5.555555555555555
SC-17-2,MS,1,gratitude,0.183,1,3.7680000000000002,5.46448087431694
SC-17-2,MS,1,gratitude,0.241,1,4.009,4.149377593360996
SC-17-2,MS,1,gratitude,0.226,1,4.235,4.424778761061947
SC-17-2,MS,1,gratitude,0.221,1,4.456,4.524886877828054
SC-17-2,MS,1,gratitude,0.198,1,4.654,5.05050505050505
SC-17-2,MS,1,gratitude,0.21,1,4.864,4.761904761904762
SC-17-2,MS,1,gratitude,0.232,1,5.096,4.310344827586206
SC-17-2,MS,1,gratitude,0.209,1,5.305,4.784688995215311
SC-17-2,MS,1,gratitude,0.197,1,5.502,5.0761421319796955
SC-17-2,MS,1,gratitude,0.189,1,5.691,5.291005291005291
SC-17-2,MS,1,gratitude,0.18,1,5.871,5.555555555555555
SC-17-2,MS,1,gratitude,0.195,1,6.066,5.128205128205128
SC-17-2,MS,1,gratitude,0.181,1,6.247,5.524861878453039
SC-17-2,MS,1,gratitude,0.186,1,6.433,5.376344086021505
SC-17-2,MS,1,gratitude,0.183,1,6.616,5.46448087431694
SC-17-2,MS,1,gratitude,0.183,1,6.799,5.46448087431694
SC-17-2,MS,1,gratitude,0.189,1,6.988,5.291005291005291
SC-17-2,MS,1,gratitude,0.255,1,7.243,3.9215686274509802
SC-17-2,MS,2,attention,0.391,1,0.391,2.557544757033248
SC-17-2,MS,2,attention,0.391,1,0.782,2.557544757033248
SC-17-2,MS,2,attention,0.384,1,1.166,2.6041666666666665
SC-17-2,MS,2,attention,0.381,1,1.5470000000000002,2.6246719160104988
SC-17-2,MS,2,attention,0.375,1,1.9220000000000002,2.6666666666666665
SC-17-2,MS,2,attention,0.368,1,2.29,2.717391304347826
SC-17-2,MS,2,attention,0.434,1,2.724,2.3041474654377883
SC-17-2,MS,2,attention,0.384,1,3.108,2.6041666666666665
SC-17-2,MS,2,attention,0.379,1,3.487,2.638522427440633
SC-17-2,MS,2,attention,0.379,1,3.866,2.638522427440633
SC-17-2,MS,2,attention,0.395,1,4.261,2.531645569620253
SC-17-2,MS,2,attention,0.384,1,4.6450000000000005,2.6041666666666665
SC-17-2,MS,2,attention,0.428,1,5.073,2.336448598130841
SC-17-2,MS,2,attention,0.363,1,5.436,2.7548209366391188
SC-17-2,MS,2,attention,0.351,1,5.787,2.8490028490028494
SC-17-2,MS,2,attention,0.342,1,6.1290000000000004,2.923976608187134
SC-17-2,MS,2,attention,0.378,1,6.507,2.6455026455026456
SC-17-2,MS,2,attention,0.369,1,6.876,2.710027100271003
SC-17-2,MS,2,attention,0.404,1,7.28,2.4752475247524752
SC-17-2,MS,2,attention,0.372,1,7.652,2.6881720430107525
SC-17-2,MS,2,attention,0.358,1,8.01,2.793296089385475
SC-17-2,MS,2,attention,0.368,1,8.378,2.717391304347826
SC-17-2,MS,2,attention,0.165,1,8.543,6.0606060606060606
SC-17-2,MS,3,happiness,0.391,1,0.391,2.557544757033248
SC-17-2,MS,3,happiness,0.064,1,0.455,15.625
SC-17-2,MS,3,happiness,0.278,1,0.7330000000000001,3.5971223021582732
SC-17-2,MS,3,happiness,0.21,1,0.9430000000000001,4.761904761904762
SC-17-2,MS,3,happiness,0.218,1,1.161,4.587155963302752
SC-17-2,MS,3,happiness,0.214,1,1.375,4.672897196261682
SC-17-2,MS,3,happiness,0.214,1,1.589,4.672897196261682
SC-17-2,MS,3,happiness,0.223,1,1.812,4.484304932735426
SC-17-2,MS,3,happiness,0.126,1,1.938,7.936507936507937
SC-17-2,MS,3,happiness,0.368,1,2.306,2.717391304347826
SC-17-2,MS,3,happiness,0.264,1,2.57,3.7878787878787876
