Spike.time.sec	Comment.time.sec	Comment	UnitName	UnitType	StimNumber	Stimulus	isi.sec
2.2795	0.055	love	SC-13-2	HFA	1	love	NA
2.60155	0.055	love	SC-13-2	HFA	1	love	0.32204999999999995
2.60965	0.055	love	SC-13-2	HFA	1	love	0.008099999999999774
2.6187	0.055	love	SC-13-2	HFA	1	love	0.009050000000000225
2.66185	0.055	love	SC-13-2	HFA	1	love	0.0431499999999998
2.68665	0.055	love	SC-13-2	HFA	1	love	0.024800000000000377
2.6923	0.055	love	SC-13-2	HFA	1	love	0.005649999999999711
2.74765	0.055	love	SC-13-2	HFA	1	love	0.05535000000000023
2.7548	0.055	love	SC-13-2	HFA	1	love	0.007149999999999768
2.77875	0.055	love	SC-13-2	HFA	1	love	0.023950000000000138
2.80315	0.055	love	SC-13-2	HFA	1	love	0.024399999999999977
2.85255	0.055	love	SC-13-2	HFA	1	love	0.04939999999999989
2.89595	0.055	love	SC-13-2	HFA	1	love	0.043400000000000105
2.91795	0.055	love	SC-13-2	HFA	1	love	0.021999999999999797
2.953	0.055	love	SC-13-2	HFA	1	love	0.035050000000000026
2.97205	0.055	love	SC-13-2	HFA	1	love	0.01905000000000001
2.9806	0.055	love	SC-13-2	HFA	1	love	0.008550000000000058
3.021	0.055	love	SC-13-2	HFA	1	love	0.04039999999999999
3.02455	0.055	love	SC-13-2	HFA	1	love	0.003550000000000164
3.03525	0.055	love	SC-13-2	HFA	1	love	0.010699999999999932
3.0853	0.055	love	SC-13-2	HFA	1	love	0.05005000000000015
3.11435	0.055	love	SC-13-2	HFA	1	love	0.029049999999999798
3.2197	0.055	love	SC-13-2	HFA	1	love	0.10535000000000005
3.24555	0.055	love	SC-13-2	HFA	1	love	0.02585000000000015
3.249	0.055	love	SC-13-2	HFA	1	love	0.003449999999999953
3.26	0.055	love	SC-13-2	HFA	1	love	0.010999999999999677
3.3124	0.055	love	SC-13-2	HFA	1	love	0.0524
3.3694	0.055	love	SC-13-2	HFA	1	love	0.057000000000000384
3.43115	0.055	love	SC-13-2	HFA	1	love	0.06174999999999997
3.5565	0.055	love	SC-13-2	HFA	1	love	0.12535000000000007
3.6625	0.055	love	SC-13-2	HFA	1	love	0.10599999999999987
4.094	0.055	love	SC-13-2	HFA	1	love	0.4315000000000002
8.552	0.055	love	SC-13-2	HFA	1	love	4.457999999999999
8.60195	0.055	love	SC-13-2	HFA	1	love	0.04995000000000083
8.6446	0.055	love	SC-13-2	HFA	1	love	0.04265000000000008
8.72325	0.055	love	SC-13-2	HFA	1	love	0.07864999999999966
8.73955	0.055	love	SC-13-2	HFA	1	love	0.016299999999999315
8.78225	0.055	love	SC-13-2	HFA	1	love	0.04269999999999996
8.78715	0.055	love	SC-13-2	HFA	1	love	0.004900000000001015
8.79745	0.055	love	SC-13-2	HFA	1	love	0.010299999999999088
8.81095	0.055	love	SC-13-2	HFA	1	love	0.013500000000000512
8.84735	0.055	love	SC-13-2	HFA	1	love	0.03640000000000043
8.8617	0.055	love	SC-13-2	HFA	1	love	0.014350000000000307
8.8728	0.055	love	SC-13-2	HFA	1	love	0.011099999999999
8.9277	0.055	love	SC-13-2	HFA	1	love	0.05489999999999995
8.9401	0.055	love	SC-13-2	HFA	1	love	0.012399999999999523
8.99325	0.055	love	SC-13-2	HFA	1	love	0.053150000000000475
9.0156	0.055	love	SC-13-2	HFA	1	love	0.022349999999999426
9.0219	0.055	love	SC-13-2	HFA	1	love	0.0063000000000013046
9.04215	0.055	love	SC-13-2	HFA	1	love	0.02024999999999899
9.0554	0.055	love	SC-13-2	HFA	1	love	0.013250000000001094
9.06385	0.055	love	SC-13-2	HFA	1	love	0.008449999999999847
9.0792	0.055	love	SC-13-2	HFA	1	love	0.015349999999999753
9.0937	0.055	love	SC-13-2	HFA	1	love	0.014499999999999957
9.1061	0.055	love	SC-13-2	HFA	1	love	0.012399999999999523
9.1154	0.055	love	SC-13-2	HFA	1	love	0.009299999999999642
9.1422	0.055	love	SC-13-2	HFA	1	love	0.02680000000000149
9.15735	0.055	love	SC-13-2	HFA	1	love	0.015149999999998442
9.17485	0.055	love	SC-13-2	HFA	1	love	0.01750000000000007
9.2265	0.055	love	SC-13-2	HFA	1	love	0.05165000000000042
9.2317	0.055	love	SC-13-2	HFA	1	love	0.0052000000000003155
9.2419	0.055	love	SC-13-2	HFA	1	love	0.01019999999999932
9.25535	0.055	love	SC-13-2	HFA	1	love	0.013450000000000628
9.2742	0.055	love	SC-13-2	HFA	1	love	0.018850000000000477
9.2822	0.055	love	SC-13-2	HFA	1	love	0.007999999999999119
9.31225	0.055	love	SC-13-2	HFA	1	love	0.03005000000000102
9.40685	0.055	love	SC-13-2	HFA	1	love	0.0945999999999998
9.4521	0.055	love	SC-13-2	HFA	1	love	0.045249999999999346
9.4559	0.055	love	SC-13-2	HFA	1	love	0.0038000000000000256
9.53855	0.055	love	SC-13-2	HFA	1	love	0.082650000000001
9.55815	0.055	love	SC-13-2	HFA	1	love	0.01959999999999873
9.57405	0.055	love	SC-13-2	HFA	1	love	0.015900000000000247
9.5944	0.055	love	SC-13-2	HFA	1	love	0.020350000000000534
13.4111	12.215	love	SC-13-2	HFA	2	love	NA
13.4361	12.215	love	SC-13-2	HFA	2	love	0.025000000000000355
13.452	12.215	love	SC-13-2	HFA	2	love	0.015900000000000247
13.4738	12.215	love	SC-13-2	HFA	2	love	0.021800000000000708
13.522	12.215	love	SC-13-2	HFA	2	love	0.048199999999999577
13.5345	12.215	love	SC-13-2	HFA	2	love	0.01249999999999929
13.54655	12.215	love	SC-13-2	HFA	2	love	0.012050000000000338
13.55655	12.215	love	SC-13-2	HFA	2	love	0.009999999999999787
13.57625	12.215	love	SC-13-2	HFA	2	love	0.019700000000000273
13.5833	12.215	love	SC-13-2	HFA	2	love	0.007049999999999557
13.5927	12.215	love	SC-13-2	HFA	2	love	0.009400000000001185
13.5993	12.215	love	SC-13-2	HFA	2	love	0.006599999999998829
13.61135	12.215	love	SC-13-2	HFA	2	love	0.012050000000000338
13.6209	12.215	love	SC-13-2	HFA	2	love	0.009550000000000836
13.62925	12.215	love	SC-13-2	HFA	2	love	0.00835000000000008
13.667	12.215	love	SC-13-2	HFA	2	love	0.03774999999999906
13.68375	12.215	love	SC-13-2	HFA	2	love	0.016750000000000043
13.7285	12.215	love	SC-13-2	HFA	2	love	0.04475000000000051
13.81795	12.215	love	SC-13-2	HFA	2	love	0.08944999999999936
13.83355	12.215	love	SC-13-2	HFA	2	love	0.015600000000000946
13.89435	12.215	love	SC-13-2	HFA	2	love	0.06079999999999863
13.9114	12.215	love	SC-13-2	HFA	2	love	0.01705000000000112
13.9254	12.215	love	SC-13-2	HFA	2	love	0.013999999999999346
13.94205	12.215	love	SC-13-2	HFA	2	love	0.016650000000000276
14.0026	12.215	love	SC-13-2	HFA	2	love	0.060549999999999216
14.0442	12.215	love	SC-13-2	HFA	2	love	0.04160000000000075
14.0553	12.215	love	SC-13-2	HFA	2	love	0.011100000000000776
14.10795	12.215	love	SC-13-2	HFA	2	love	0.052649999999999864
14.12365	12.215	love	SC-13-2	HFA	2	love	0.015699999999998937
14.1303	12.215	love	SC-13-2	HFA	2	love	0.006650000000000489
14.13645	12.215	love	SC-13-2	HFA	2	love	0.006149999999999878
14.19565	12.215	love	SC-13-2	HFA	2	love	0.059200000000000585
14.2147	12.215	love	SC-13-2	HFA	2	love	0.01905000000000001
14.37575	12.215	love	SC-13-2	HFA	2	love	0.16104999999999947
14.40085	12.215	love	SC-13-2	HFA	2	love	0.025100000000000122
14.4908	12.215	love	SC-13-2	HFA	2	love	0.08994999999999997
14.62835	12.215	love	SC-13-2	HFA	2	love	0.13754999999999917
14.65195	12.215	love	SC-13-2	HFA	2	love	0.023600000000000065
14.7351	12.215	love	SC-13-2	HFA	2	love	0.08314999999999984
14.7864	12.215	love	SC-13-2	HFA	2	love	0.051300000000001234
18.9121	12.215	love	SC-13-2	HFA	2	love	4.125699999999998
18.93385	12.215	love	SC-13-2	HFA	2	love	0.021750000000000824
18.97225	12.215	love	SC-13-2	HFA	2	love	0.038399999999999324
18.99275	12.215	love	SC-13-2	HFA	2	love	0.02050000000000196
19.0143	12.215	love	SC-13-2	HFA	2	love	0.021549999999997738
19.03935	12.215	love	SC-13-2	HFA	2	love	0.02505000000000024
19.07875	12.215	love	SC-13-2	HFA	2	love	0.039400000000000546
19.1155	12.215	love	SC-13-2	HFA	2	love	0.03675000000000139
19.1335	12.215	love	SC-13-2	HFA	2	love	0.018000000000000682
19.15845	12.215	love	SC-13-2	HFA	2	love	0.02494999999999692
19.19165	12.215	love	SC-13-2	HFA	2	love	0.033200000000000784
19.2335	12.215	love	SC-13-2	HFA	2	love	0.041850000000000165
19.34825	12.215	love	SC-13-2	HFA	2	love	0.1147500000000008
19.37165	12.215	love	SC-13-2	HFA	2	love	0.023399999999998755
19.4851	12.215	love	SC-13-2	HFA	2	love	0.11345000000000027
19.48995	12.215	love	SC-13-2	HFA	2	love	0.004850000000001131
19.583	12.215	love	SC-13-2	HFA	2	love	0.09304999999999808
19.62395	12.215	love	SC-13-2	HFA	2	love	0.04095000000000226
19.69265	12.215	love	SC-13-2	HFA	2	love	0.06869999999999976
19.70825	12.215	love	SC-13-2	HFA	2	love	0.01559999999999917
19.73385	12.215	love	SC-13-2	HFA	2	love	0.025600000000000733
19.78035	12.215	love	SC-13-2	HFA	2	love	0.04649999999999821
19.7934	12.215	love	SC-13-2	HFA	2	love	0.013049999999999784
19.8104	12.215	love	SC-13-2	HFA	2	love	0.017000000000003013
19.97525	12.215	love	SC-13-2	HFA	2	love	0.16484999999999772
19.9917	12.215	love	SC-13-2	HFA	2	love	0.016450000000002518
20.04595	12.215	love	SC-13-2	HFA	2	love	0.05424999999999969
20.0508	12.215	love	SC-13-2	HFA	2	love	0.0048499999999975785
20.08305	12.215	love	SC-13-2	HFA	2	love	0.03225000000000122
20.1006	12.215	love	SC-13-2	HFA	2	love	0.017549999999999955
20.1097	12.215	love	SC-13-2	HFA	2	love	0.009100000000000108
