"UnitName"	"UnitType"	"Stimulus"	"StimNumber"	"isi.sec"	"Zoom"
"SC-17-1"	"Joint"	"happiness"	1	0.158	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.168	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.148	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.068	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.061	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.103	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.125	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.058	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.12	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.134	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.066	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.06	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.067	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.093	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.085	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.032	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.059	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.106	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.016	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.084	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.065	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.168	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.132	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.044	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.064	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.152	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.056	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.039	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.203	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.04	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.03	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.218	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.026	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.138	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.166	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.078	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.195	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.071	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.09	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.237	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.173	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.087	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.072	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.135	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.102	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.076	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.046	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.168	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.048	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.032	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.099	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.131	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.174	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.108	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.068	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.098	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.141	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.131	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.141	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.156	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.11	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.1	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.129	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.082	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.116	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.053	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.086	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.149	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.024	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.048	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.048	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.14	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.098	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.169	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.06	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.156	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.038	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.098	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.117	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.033	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.121	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.122	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.061	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.087	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.113	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.127	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.143	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.135	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.116	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.149	"201.1"
"SC-17-1"	"Joint"	"happiness"	1	0.092	"201.1"
"SC-17-1"	"Joint"	"happiness"	2	0.166	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.135	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.056	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.023	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.069	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.167	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.051	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.064	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.112	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.039	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.031	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.098	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.137	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.033	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.236	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.017	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.054	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.084	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.107	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.033	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.042	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.122	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.105	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.04	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.128	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.109	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.062	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.211	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.128	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.305	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.03	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.15	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.123	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.032	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.119	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.159	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.047	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.102	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.135	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.027	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.041	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.093	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.154	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.256	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.165	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.15	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.071	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.115	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.204	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.029	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.214	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.036	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.038	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.067	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.163	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.021	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.032	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.113	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.171	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.074	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.035	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.199	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.028	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.109	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.124	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.022	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.036	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.044	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.213	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.031	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.206	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.021	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.032	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.112	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.066	"201.2"
"SC-17-1"	"Joint"	"happiness"	2	0.175	"201.2"
