"UnitName"	"UnitType"	"StimNumber"	"Stimulus"	"n.spikes"	"mean.freq"	"peak.freq"	"mean.isi.sec"	"sd.isi.sec"	"cv.isi.sec"
"SC-13-2"	"HFA"	2	"love"	73	10.2644522061444	206.185567010412	0.0974236111111111	0.483653505422945	4.96443829074803
"SC-13-2"	"HFA"	3	"attention"	45	6.98346189251817	259.740259740266	0.143195454545455	0.279032434102532	1.94861237033162
"SC-13-2"	"HFA"	4	"calming"	146	15.4727732545111	285.714285714662	0.0646296551724138	0.134708536768657	2.0843146448684
"SC-13-2"	"HFA"	5	"gratitude"	21	2.45742510996977	64.7249190938457	0.40693	0.573506221780594	1.40934859012753
"SC-13-2"	"HFA"	6	"sadness"	40	4.17567828004882	125.786163522109	0.239482051282051	0.395122762649918	1.64990553795015
"SC-13-2"	"HFA"	7	"happiness"	178	16.5457672749028	298.507462686788	0.0604384180790961	0.189695314819657	3.13865453214547
"SC-20-1"	"MS"	1	"attention"	24	4.28680595679645	312.500000000034	0.233273913043478	0.370694266291327	1.58909438888795
"SC-20-1"	"MS"	2	"attention"	37	3.15795013947613	370.370370370746	0.316661111111111	0.492067614272545	1.55392499112367
"SC-20-1"	"MS"	4	"gratitude"	28	2.89387516679975	62.8930817609983	0.345557407407407	0.401075698471696	1.1606630038141
"SC-20-1"	"MS"	5	"sadness"	20	2.2270931745455	40.6504065040776	0.449015789473684	0.537974493419698	1.19811932237458
"SC-20-1"	"MS"	6	"happiness"	33	3.02613349977068	294.117647058894	0.3304546875	0.360295373082164	1.09030189829631
"SC-20-1"	"MS"	7	"calming"	15	1.35004821600771	26.0416666666695	0.740714285714286	1.03468897471444	1.39688000443608
"SC-20-1"	"MS"	8	"attention"	24	2.10100345752091	235.294117649476	0.475963043478259	0.553439690649097	1.16277870358306
"SC-20-1"	"MS"	9	"love"	3	0.172708588798121	4.13393964448141	5.7901	7.84633968675842	1.35513025453074
"SC-20-1"	"MS"	10	"gratitude"	20	2.11703881980658	75.4716981133733	0.47235789473684	0.388849236802647	0.823208929363365
"SC-20-1"	"MS"	11	"sadness"	17	1.48994519795319	13.2714001327014	0.671165625	0.596506847046129	0.888762512302577
"SC-20-1"	"MS"	12	"happiness"	15	1.42063471929781	105.820105819935	0.703910714285712	0.635214191973113	0.902407335307705
"SC-20-1"	"MS"	13	"calming"	7	0.517277053589903	2.977076510867	1.9332	1.9327762635649	0.999780810865355
"SC-20-1"	"MS"	14	"attention"	21	2.23622346581093	256.410256414825	0.447182500000002	0.604640482190812	1.35211123465433
"SC-20-1"	"MS"	15	"love"	6	0.447075233820351	6.91562932226983	2.23675999999998	1.60428074319926	0.717234188379297
"SC-20-1"	"MS"	16	"gratitude"	21	2.17818655078714	104.166666666909	0.459097500000001	0.446417168150748	0.972379871706437
"SC-20-1"	"MS"	17	"sadness"	13	1.25618934960795	22.1238938053543	0.796058333333339	0.663208295071392	0.833115196840332
"SC-20-1"	"MS"	18	"happiness"	29	2.63353429708147	289.855072460116	0.379717857142858	0.527256793717411	1.38854884962401
"SC-20-1"	"MS"	19	"calming"	12	1.05877653558692	30.1659125188739	0.944486363636367	1.30130909685035	1.37779553729096
"SC-20-2"	"MS"	1	"attention"	4	0.718554268811152	5.56947925368981	1.39168333333333	1.17334396207307	0.843111312731396
"SC-20-2"	"MS"	2	"love"	1	0	0	NA	NA	NA
"SC-20-2"	"MS"	3	"gratitude"	1	0	0	NA	NA	NA
"SC-20-2"	"MS"	4	"sadness"	1	0	0	NA	NA	NA
"SC-20-2"	"MS"	6	"attention"	2	4.56516776991593	4.56516776991593	0.219049999999982	NA	NA
"SC-20-2"	"MS"	7	"gratitude"	2	3.86025863732867	3.86025863732867	0.259050000000002	NA	NA
"SC-20-2"	"MS"	8	"happiness"	1	0	0	NA	NA	NA
"SC-20-4"	"MS"	1	"attention"	32	3.20085906927279	229.885057471331	0.312416129032258	0.48375246982782	1.54842348033149
"SC-20-4"	"MS"	2	"attention"	18	1.67425003446985	166.66666666666	0.597282352941177	0.634543599009649	1.06238464251453
"SC-20-4"	"MS"	3	"gratitude"	15	0.738577763006223	60.9756097560812	1.35395357142857	2.64694027928505	1.95497123028542
"SC-20-4"	"MS"	4	"sadness"	8	0.780448646479062	25.1256281407038	1.28131428571429	1.79635087694338	1.40195961051194
